table_id,row_id,indicator_and_highest_degree_level_full_path,indicator_and_highest_degree_level_level_1,indicator_and_highest_degree_level_level_2,indicator_and_highest_degree_level_level_3,indicator_and_highest_degree_level_level_4,indicator_and_highest_degree_level_level_5,indicator_and_highest_degree_level_hierarchy_depth,field_all_s_e_and_s_e_related_fields,field_s_e_fields_all_s_e_fields,field_s_e_fields_biological_agricultural_and_environmental_life_sciences,field_s_e_fields_computer_and_mathematical_sciences,field_s_e_fields_physical_sciences,field_s_e_fields_social_sciences,field_s_e_fields_engineering,field_s_e_related_fields
10995,r021,Employment rate (%) -> Out-of-field rate (%) -> Involuntarily out-of-field rate (%) -> All degree levels -> Bachelor&#8217;s,Employment rate (%),Out-of-field rate (%),Involuntarily out-of-field rate (%),All degree levels,Bachelor&#8217;s,5,8.0,9.8,15.0,3.3,14.8,12.8,5.0,3.5
10995,r022,Employment rate (%) -> Out-of-field rate (%) -> Involuntarily out-of-field rate (%) -> All degree levels -> Master&#8217;s,Employment rate (%),Out-of-field rate (%),Involuntarily out-of-field rate (%),All degree levels,Master&#8217;s,5,3.2,4.2,4.6,4.8,2.0,5.9,1.6,1.7
10995,r023,Employment rate (%) -> Out-of-field rate (%) -> Involuntarily out-of-field rate (%) -> All degree levels -> Doctorate,Employment rate (%),Out-of-field rate (%),Involuntarily out-of-field rate (%),All degree levels,Doctorate,5,1.6,1.9,s,s,1.8,3.5,s,s
10995,r024,Employment rate (%) -> Out-of-field rate (%) -> Involuntarily out-of-field rate (%) -> All degree levels -> Professional,Employment rate (%),Out-of-field rate (%),Involuntarily out-of-field rate (%),All degree levels,Professional,5,s,s,na,na,na,s,na,s
10995,r025,Employment rate (%) -> Median annual earnings for employed individuals ($),Employment rate (%),Median annual earnings for employed individuals ($),,,,2,,,,,,,,
10995,r026,Employment rate (%) -> Median annual earnings for employed individuals ($) -> All degree levels,Employment rate (%),Median annual earnings for employed individuals ($),All degree levels,,,3,60000,54000,40000,75000,43000,42000,75000,65000
10995,r027,Employment rate (%) -> Median annual earnings for employed individuals ($) -> All degree levels -> Bachelor&#8217;s,Employment rate (%),Median annual earnings for employed individuals ($),All degree levels,Bachelor&#8217;s,,4,50000,48000,35000,68000,37000,38000,72000,58000
10995,r028,Employment rate (%) -> Median annual earnings for employed individuals ($) -> All degree levels -> Master&#8217;s,Employment rate (%),Median annual earnings for employed individuals ($),All degree levels,Master&#8217;s,,4,70000,65000,48000,85000,42000,50000,86000,74000
10995,r029,Employment rate (%) -> Median annual earnings for employed individuals ($) -> All degree levels -> Doctorate,Employment rate (%),Median annual earnings for employed individuals ($),All degree levels,Doctorate,,4,78000,77000,61000,110000,72000,75000,101000,80000
10995,r030,Employment rate (%) -> Median annual earnings for employed individuals ($) -> All degree levels -> Professional,Employment rate (%),Median annual earnings for employed individuals ($),All degree levels,Professional,,4,70000,s,na,na,na,s,na,70000
