table_id,row_id,demographic_characteristic_and_broad_field_of_study_full_path,demographic_characteristic_and_broad_field_of_study_level_1,demographic_characteristic_and_broad_field_of_study_level_2,demographic_characteristic_and_broad_field_of_study_level_3,demographic_characteristic_and_broad_field_of_study_level_4,demographic_characteristic_and_broad_field_of_study_level_5,demographic_characteristic_and_broad_field_of_study_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_advanced_degree
976,r045,All doctorate recipients -> Field of study -> Life sciences<sup>d</sup>,All doctorate recipients,Field of study,Life sciences<sup>d</sup>,,,3,,,,,,
976,r046,All doctorate recipients -> Field of study -> Life sciences<sup>d</sup> -> Father's education,All doctorate recipients,Field of study,Life sciences<sup>d</sup>,Father's education,,4,11226,100.0,23.8,13.6,26.8,35.8
976,r047,All doctorate recipients -> Field of study -> Life sciences<sup>d</sup> -> Mother's education,All doctorate recipients,Field of study,Life sciences<sup>d</sup>,Mother's education,,4,11289,100.0,27.4,17.0,29.4,26.2
976,r048,All doctorate recipients -> Field of study -> Physical sciences and earth sciences,All doctorate recipients,Field of study,Physical sciences and earth sciences,,,3,,,,,,
976,r049,All doctorate recipients -> Field of study -> Physical sciences and earth sciences -> Father's education,All doctorate recipients,Field of study,Physical sciences and earth sciences,Father's education,,4,5433,100.0,23.2,15.1,28.3,33.3
976,r050,All doctorate recipients -> Field of study -> Physical sciences and earth sciences -> Mother's education,All doctorate recipients,Field of study,Physical sciences and earth sciences,Mother's education,,4,5452,100.0,28.2,17.5,30.2,24.1
976,r051,All doctorate recipients -> Field of study -> Mathematics and computer sciences,All doctorate recipients,Field of study,Mathematics and computer sciences,,,3,,,,,,
976,r052,All doctorate recipients -> Field of study -> Mathematics and computer sciences -> Father's education,All doctorate recipients,Field of study,Mathematics and computer sciences,Father's education,,4,3322,100.0,23.0,13.8,28.3,34.9
976,r053,All doctorate recipients -> Field of study -> Mathematics and computer sciences -> Mother's education,All doctorate recipients,Field of study,Mathematics and computer sciences,Mother's education,,4,3326,100.0,30.5,15.2,30.1,24.2
976,r054,All doctorate recipients -> Field of study -> Psychology and social sciences,All doctorate recipients,Field of study,Psychology and social sciences,,,3,,,,,,
976,r055,All doctorate recipients -> Field of study -> Psychology and social sciences -> Father's education,All doctorate recipients,Field of study,Psychology and social sciences,Father's education,,4,7640,100.0,23.0,14.1,24.5,38.4
976,r056,All doctorate recipients -> Field of study -> Psychology and social sciences -> Mother's education,All doctorate recipients,Field of study,Psychology and social sciences,Mother's education,,4,7703,100.0,25.1,18.1,26.9,29.9
976,r057,All doctorate recipients -> Field of study -> Engineering,All doctorate recipients,Field of study,Engineering,,,3,,,,,,
976,r058,All doctorate recipients -> Field of study -> Engineering -> Father's education,All doctorate recipients,Field of study,Engineering,Father's education,,4,8557,100.0,22.7,12.3,32.3,32.8
976,r059,All doctorate recipients -> Field of study -> Engineering -> Mother's education,All doctorate recipients,Field of study,Engineering,Mother's education,,4,8558,100.0,30.6,15.6,31.9,21.9
976,r060,All doctorate recipients -> Field of study -> Education,All doctorate recipients,Field of study,Education,,,3,,,,,,
976,r061,All doctorate recipients -> Field of study -> Education -> Father's education,All doctorate recipients,Field of study,Education,Father's education,,4,4102,100.0,33.7,17.3,21.4,27.5
976,r062,All doctorate recipients -> Field of study -> Education -> Mother's education,All doctorate recipients,Field of study,Education,Mother's education,,4,4126,100.0,35.8,22.1,21.2,20.9
976,r063,All doctorate recipients -> Field of study -> Humanities and arts,All doctorate recipients,Field of study,Humanities and arts,,,3,,,,,,
976,r064,All doctorate recipients -> Field of study -> Humanities and arts -> Father's education,All doctorate recipients,Field of study,Humanities and arts,Father's education,,4,4584,100.0,20.5,12.9,24.5,42.0
976,r065,All doctorate recipients -> Field of study -> Humanities and arts -> Mother's education,All doctorate recipients,Field of study,Humanities and arts,Mother's education,,4,4617,100.0,22.6,17.3,28.5,31.6
976,r066,All doctorate recipients -> Field of study -> Other<sup>e</sup>,All doctorate recipients,Field of study,Other<sup>e</sup>,,,3,,,,,,
976,r067,All doctorate recipients -> Field of study -> Other<sup>e</sup> -> Father's education,All doctorate recipients,Field of study,Other<sup>e</sup>,Father's education,,4,2536,100.0,25.8,13.9,26.2,34.1
976,r068,All doctorate recipients -> Field of study -> Other<sup>e</sup> -> Mother's education,All doctorate recipients,Field of study,Other<sup>e</sup>,Mother's education,,4,2551,100.0,31.7,17.2,26.0,25.1
