table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
9611,r013,All doctorate recipients (number) -> Marital status (%) -> Married or in marriage-like relationship,All doctorate recipients (number),Marital status (%),Married or in marriage-like relationship,3,48.5,55.3,42.5,54.5,53.7,46.9,,51.9,41.4,43.7,51.5,59.0,48.5,53.7,49.2,38.4,,9.1,11.2
9611,r014,All doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number),Marital status (%),Unknown,3,11.6,7.5,7.4,6.8,3.8,18.4,0.0,7.1,3.7,8.7,3.8,5.1,3.6,3.4,2.4,36.5,63.9,81.5,79.1
9611,r015,All doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number),Has dependent age 18 or younger (%),,2,20.1,22.0,16.5,21.2,16.6,37.5,,20.1,13.7,31.5,42.4,21.4,20.4,18.3,24.4,29.9,,16.1,23.9
9611,r016,All doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number),Has one or more functional limitations (%),,2,13.2,14.9,10.2,20.4,13.0,16.5,,11.2,10.0,13.8,8.4,14.5,10.2,18.1,13.2,19.4,,13.9,9.3
9611,r017,All doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number),Age at doctorate (median years),,2,31.4,31.6,31.2,31.8,32.8,36.5,,31.2,30.6,36.0,34.6,31.3,32.2,30.9,33.0,33.0,,32.1,31.6
9611,r018,All doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number),Time to doctorate (median years),,2,,,,,,,,,,,,,,,,,,,
9611,r019,All doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,3,8.6,8.8,8.4,8.6,9.4,10.9,,8.6,8.0,12.0,10.8,8.6,9.3,8.3,10.0,9.3,9.0,9.3,9.0
9611,r020,All doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number),Time to doctorate (median years),From graduate school start,3,7.2,7.1,7.3,7.3,7.8,9.3,,7.0,7.0,9.7,7.9,7.0,7.9,6.8,7.9,7.9,8.0,7.8,7.0
9611,r021,All doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>f</sup>,All doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>f</sup>,3,5.7,5.8,5.3,5.8,5.8,6.5,,5.8,5.3,5.8,5.0,5.8,5.3,5.8,5.8,6.0,5.4,5.8,5.3
9611,r022,All doctorate recipients (number) -> Time to doctorate (median years) -> Received tuition remission (%),All doctorate recipients (number),Time to doctorate (median years),Received tuition remission (%),3,85.4,83.8,88.5,81.6,86.5,71.3,,87.0,91.3,67.5,84.5,85.5,81.6,86.6,75.2,77.7,,76.3,86.7
