table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_services_innovation_number_yes,field_services_innovation_number_no,field_services_innovation_percent_yes,field_services_innovation_percent_no
5638,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    48,472 ', '&nbsp;']","['    3,309 ', '&nbsp;']","['    45,163 ', '&nbsp;']","['    6.8 ', '&nbsp;']","['    93.2 ', '&nbsp;']"
5638,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    18,558 ', '&nbsp;']","['    1,467 ', '&nbsp;']","['    17,091 ', '&nbsp;']","['    7.9 ', '&nbsp;']","['    92.1 ', '&nbsp;']"
5638,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    9,036 ', '&nbsp;']","['    983 ', '&nbsp;']","['    8,053 ', '&nbsp;']","['    10.9 ', '&nbsp;']","['    89.1 ', '&nbsp;']"
5638,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    974 ', '&nbsp;']","['    124 ', '&nbsp;']","['    850 ', '&nbsp;']","['    12.7 ', '&nbsp;']","['    87.3 ', '&nbsp;']"
5638,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    2,796 ', '&nbsp;']","['    201 ', '&nbsp;']","['    2,595 ', '&nbsp;']","['    7.2 ', '&nbsp;']","['    92.8 ', '&nbsp;']"
5638,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['    3,909 ', '&nbsp;']","['    464 ', '&nbsp;']","['    3,445 ', '&nbsp;']","['    11.9 ', '&nbsp;']","['    88.1 ', '&nbsp;']"
5638,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['    1,359 ', '&nbsp;']","['    196 ', '&nbsp;']","['    1,163 ', '&nbsp;']","['    14.4 ', '&nbsp;']","['    85.6 ', '&nbsp;']"
5638,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['    4,000 ', '&nbsp;']","['    314 ', '&nbsp;']","['    3,686 ', '&nbsp;']","['    7.9 ', '&nbsp;']","['    92.2 ', '&nbsp;']"
5638,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['    7,175 ', '&nbsp;']","['    452 ', '&nbsp;']","['    6,723 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']"
5638,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['    4,565 ', '&nbsp;']","['    241 ', '&nbsp;']","['    4,324 ', '&nbsp;']","['    5.3 ', '&nbsp;']","['    94.7 ', '&nbsp;']"
5638,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['    985 ', '&nbsp;']","['    101 ', '&nbsp;']","['    884 ', '&nbsp;']","['    10.3 ', '&nbsp;']","['    89.7 ', '&nbsp;']"
5638,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['    1,625 ', '&nbsp;']","['    109 ', '&nbsp;']","['    1,516 ', '&nbsp;']","['    6.7 ', '&nbsp;']","['    93.3 ', '&nbsp;']"
5638,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['    12,647 ', '&nbsp;']","['    662 ', '&nbsp;']","['    11,985 ', '&nbsp;']","['    5.2 ', '&nbsp;']","['    94.8 ', '&nbsp;']"
5638,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['    20,669 ', '&nbsp;']","['    2,488 ', '&nbsp;']","['    18,181 ', '&nbsp;']","['    12.0 ', '&nbsp;']","['    88.0 ', '&nbsp;']"
5638,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['    8,060 ', '&nbsp;']","['    1,007 ', '&nbsp;']","['    7,053 ', '&nbsp;']","['    12.5 ', '&nbsp;']","['    87.5 ', '&nbsp;']"
5638,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['    12,608 ', '&nbsp;']","['    1,483 ', '&nbsp;']","['    11,125 ', '&nbsp;']","['    11.8 ', '&nbsp;']","['    88.2 ', '&nbsp;']"
5638,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['    4,587,586 ', '&nbsp;']","['    706,335 ', '&nbsp;']","['    3,881,251 ', '&nbsp;']","['    15.4 ', '&nbsp;']","['    84.6 ', '&nbsp;']"
5638,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['    21,606 ', '&nbsp;']","['    2,021 ', '&nbsp;']","['    19,585 ', '&nbsp;']","['    9.4 ', '&nbsp;']","['    90.6 ', '&nbsp;']"
5638,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['    14,969 ', '&nbsp;']","['    1,202 ', '&nbsp;']","['    13,767 ', '&nbsp;']","['    8.0 ', '&nbsp;']","['    92.0 ', '&nbsp;']"
5638,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['    2,684 ', '&nbsp;']","['    313 ', '&nbsp;']","['    2,371 ', '&nbsp;']","['    11.7 ', '&nbsp;']","['    88.3 ', '&nbsp;']"
5638,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    613,110 ', '&nbsp;']","['    61,973 ', '&nbsp;']","['    551,137 ', '&nbsp;']","['    10.1 ', '&nbsp;']","['    89.9 ', '&nbsp;']"
5638,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    257,153 ', '&nbsp;']","['    21,719 ', '&nbsp;']","['    235,434 ', '&nbsp;']","['    8.4 ', '&nbsp;']","['    91.6 ', '&nbsp;']"
5638,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    560,952 ', '&nbsp;']","['    49,196 ', '&nbsp;']","['    511,756 ', '&nbsp;']","['    8.8 ', '&nbsp;']","['    91.2 ', '&nbsp;']"
5638,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    152,463 ', '&nbsp;']","['    18,939 ', '&nbsp;']","['    133,524 ', '&nbsp;']","['    12.4 ', '&nbsp;']","['    87.6 ', '&nbsp;']"
5638,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    61,638 ', '&nbsp;']","['    14,732 ', '&nbsp;']","['    46,906 ', '&nbsp;']","['    23.9 ', '&nbsp;']","['    76.1 ', '&nbsp;']"
5638,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    17,590 ', '&nbsp;']","['    4,006 ', '&nbsp;']","['    13,584 ', '&nbsp;']","['    22.8 ', '&nbsp;']","['    77.2 ', '&nbsp;']"
5638,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    9,761 ', '&nbsp;']","['    1,699 ', '&nbsp;']","['    8,062 ', '&nbsp;']","['    17.4 ', '&nbsp;']","['    82.6 ', '&nbsp;']"
5638,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    7,828 ', '&nbsp;']","['    2,308 ', '&nbsp;']","['    5,520 ', '&nbsp;']","['    29.5 ', '&nbsp;']","['    70.5 ', '&nbsp;']"
5638,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    7,164 ', '&nbsp;']","['    1,566 ', '&nbsp;']","['    5,598 ', '&nbsp;']","['    21.9 ', '&nbsp;']","['    78.1 ', '&nbsp;']"
5638,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    8,918 ', '&nbsp;']","['    2,707 ', '&nbsp;']","['    6,211 ', '&nbsp;']","['    30.4 ', '&nbsp;']","['    69.6 ', '&nbsp;']"
5638,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    27,965 ', '&nbsp;']","['    6,452 ', '&nbsp;']","['    21,513 ', '&nbsp;']","['    23.1 ', '&nbsp;']","['    76.9 ', '&nbsp;']"
5638,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    200,857 ', '&nbsp;']","['    54,746 ', '&nbsp;']","['    146,111 ', '&nbsp;']","['    27.3 ', '&nbsp;']","['    72.7 ', '&nbsp;']"
5638,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    255,783 ', '&nbsp;']","['    41,171 ', '&nbsp;']","['    214,612 ', '&nbsp;']","['    16.1 ', '&nbsp;']","['    83.9 ', '&nbsp;']"
5638,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['    1,812 ', '&nbsp;']","['    294 ', '&nbsp;']","['    1,518 ', '&nbsp;']","['    16.2 ', 'r']","['    83.8 ', '&nbsp;']"
5638,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    253,970 ', '&nbsp;']","['    40,877 ', '&nbsp;']","['    213,093 ', '&nbsp;']","['    16.1 ', '&nbsp;']","['    83.9 ', '&nbsp;']"
5638,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    695,672 ', '&nbsp;']","['    160,817 ', '&nbsp;']","['    534,855 ', '&nbsp;']","['    23.1 ', '&nbsp;']","['    76.9 ', '&nbsp;']"
5638,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    152,243 ', '&nbsp;']","['    24,434 ', '&nbsp;']","['    127,809 ', '&nbsp;']","['    16.0 ', '&nbsp;']","['    84.0 ', '&nbsp;']"
5638,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    106,634 ', '&nbsp;']","['    22,690 ', '&nbsp;']","['    83,944 ', '&nbsp;']","['    21.3 ', '&nbsp;']","['    78.7 ', '&nbsp;']"
5638,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    88,491 ', '&nbsp;']","['    20,170 ', '&nbsp;']","['    68,321 ', '&nbsp;']","['    22.8 ', '&nbsp;']","['    77.2 ', '&nbsp;']"
5638,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    26,282 ', '&nbsp;']","['    4,381 ', '&nbsp;']","['    21,901 ', '&nbsp;']","['    16.7 ', '&nbsp;']","['    83.3 ', '&nbsp;']"
5638,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    95,950 ', '&nbsp;']","['    31,411 ', '&nbsp;']","['    64,539 ', '&nbsp;']","['    32.7 ', '&nbsp;']","['    67.3 ', '&nbsp;']"
5638,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    132,989 ', '&nbsp;']","['    38,342 ', '&nbsp;']","['    94,647 ', '&nbsp;']","['    28.8 ', '&nbsp;']","['    71.2 ', '&nbsp;']"
5638,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    9,798 ', '&nbsp;']","['    1,932 ', '&nbsp;']","['    7,866 ', '&nbsp;']","['    19.7 ', '&nbsp;']","['    80.3 ', '&nbsp;']"
5638,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    27,677 ', '&nbsp;']","['    6,770 ', '&nbsp;']","['    20,907 ', '&nbsp;']","['    24.5 ', '&nbsp;']","['    75.5 ', '&nbsp;']"
5638,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    55,569 ', '&nbsp;']","['    10,685 ', '&nbsp;']","['    44,884 ', '&nbsp;']","['    19.2 ', '&nbsp;']","['    80.8 ', '&nbsp;']"
5638,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['    2,409 ', '&nbsp;']","['    214 ', '&nbsp;']","['    2,195 ', '&nbsp;']","['    8.9 ', '&nbsp;']","['    91.1 ', '&nbsp;']"
5638,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    287,807 ', '&nbsp;']","['    49,736 ', '&nbsp;']","['    238,071 ', '&nbsp;']","['    17.3 ', '&nbsp;']","['    82.7 ', '&nbsp;']"
5638,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    53,912 ', '&nbsp;']","['    15,720 ', '&nbsp;']","['    38,192 ', '&nbsp;']","['    29.2 ', '&nbsp;']","['    70.8 ', '&nbsp;']"
5638,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    519,556 ', '&nbsp;']","['    101,828 ', '&nbsp;']","['    417,728 ', '&nbsp;']","['    19.6 ', '&nbsp;']","['    80.4 ', '&nbsp;']"
5638,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    459,855 ', '&nbsp;']","['    87,200 ', '&nbsp;']","['    372,655 ', '&nbsp;']","['    19.0 ', '&nbsp;']","['    81.0 ', '&nbsp;']"
5638,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    59,700 ', '&nbsp;']","['    14,628 ', '&nbsp;']","['    45,072 ', '&nbsp;']","['    24.5 ', '&nbsp;']","['    75.5 ', '&nbsp;']"
5638,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['    88,831 ', '&nbsp;']","['    16,973 ', '&nbsp;']","['    71,858 ', '&nbsp;']","['    19.1 ', '&nbsp;']","['    80.9 ', '&nbsp;']"
5638,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    453,059 ', '&nbsp;']","['    42,967 ', '&nbsp;']","['    410,092 ', '&nbsp;']","['    9.5 ', '&nbsp;']","['    90.5 ', '&nbsp;']"
5638,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    345,125 ', '&nbsp;']","['    52,066 ', '&nbsp;']","['    293,059 ', '&nbsp;']","['    15.1 ', '&nbsp;']","['    84.9 ', '&nbsp;']"
