table_id,row_id,time_period,_b_median_earnings_b_level_1,_b_median_earnings_b_level_2,_b_median_earnings_b_hierarchy_depth,value
11013,r006_1,Computer systems analysts,Median earnings,All workers,2,84201
11013,r006_2,Computer systems analysts,Median earnings,White,2,84578
11013,r006_3,Computer systems analysts,Median earnings,Asian,2,94617
11013,r006_4,Computer systems analysts,Median earnings,Black or African American,2,71952
11013,r006_5,Computer systems analysts,Median earnings,American Indian or Alaska Native,2,85990
11013,r006_6,Computer systems analysts,Median earnings,Other race alone or in combination,2,79495
11013,r006_7,Computer systems analysts,Median earnings,Hispanic,2,78119
11013,r007_1,Electricians,Median earnings,All workers,2,54325
11013,r007_2,Electricians,Median earnings,White,2,59319
11013,r007_3,Electricians,Median earnings,Asian,2,59502
11013,r007_4,Electricians,Median earnings,Black or African American,2,44697
11013,r007_5,Electricians,Median earnings,American Indian or Alaska Native,2,45084
11013,r007_6,Electricians,Median earnings,Other race alone or in combination,2,49917
11013,r007_7,Electricians,Median earnings,Hispanic,2,44672
11013,r008_1,Licensed practical and licensed vocational nurses,Median earnings,All workers,2,44936
11013,r008_2,Licensed practical and licensed vocational nurses,Median earnings,White,2,44821
11013,r008_3,Licensed practical and licensed vocational nurses,Median earnings,Asian,2,59466
11013,r008_4,Licensed practical and licensed vocational nurses,Median earnings,Black or African American,2,44939
11013,r008_5,Licensed practical and licensed vocational nurses,Median earnings,American Indian or Alaska Native,2,49277
11013,r008_6,Licensed practical and licensed vocational nurses,Median earnings,Other race alone or in combination,2,48845
11013,r008_7,Licensed practical and licensed vocational nurses,Median earnings,Hispanic,2,44835
11013,r009_1,"Maintenance and repair workers, general",Median earnings,All workers,2,49825
11013,r009_2,"Maintenance and repair workers, general",Median earnings,White,2,49957
11013,r009_3,"Maintenance and repair workers, general",Median earnings,Asian,2,49534
11013,r009_4,"Maintenance and repair workers, general",Median earnings,Black or African American,2,39794
11013,r009_5,"Maintenance and repair workers, general",Median earnings,American Indian or Alaska Native,2,46226
11013,r009_6,"Maintenance and repair workers, general",Median earnings,Other race alone or in combination,2,44032
11013,r009_7,"Maintenance and repair workers, general",Median earnings,Hispanic,2,44962
11013,r010_1,Medical and health services managers,Median earnings,All workers,2,76763
11013,r010_2,Medical and health services managers,Median earnings,White,2,81523
11013,r010_3,Medical and health services managers,Median earnings,Asian,2,83801
11013,r010_4,Medical and health services managers,Median earnings,Black or African American,2,67655
11013,r010_5,Medical and health services managers,Median earnings,American Indian or Alaska Native,2,69004
11013,r010_6,Medical and health services managers,Median earnings,Other race alone or in combination,2,77320
11013,r010_7,Medical and health services managers,Median earnings,Hispanic,2,60576
11013,r011_1,"Misc. production workers, incl. equipment operators and tenders",Median earnings,All workers,2,38238
11013,r011_2,"Misc. production workers, incl. equipment operators and tenders",Median earnings,White,2,41927
11013,r011_3,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Asian,2,35930
11013,r011_4,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Black or African American,2,34990
11013,r011_5,"Misc. production workers, incl. equipment operators and tenders",Median earnings,American Indian or Alaska Native,2,34588
11013,r011_6,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Other race alone or in combination,2,36668
11013,r011_7,"Misc. production workers, incl. equipment operators and tenders",Median earnings,Hispanic,2,34052
11013,r012_1,Other engineers,Median earnings,All workers,2,99706
11013,r012_2,Other engineers,Median earnings,White,2,99573
11013,r012_3,Other engineers,Median earnings,Asian,2,118371
11013,r012_4,Other engineers,Median earnings,Black or African American,2,96204
11013,r012_5,Other engineers,Median earnings,American Indian or Alaska Native,2,86492
11013,r012_6,Other engineers,Median earnings,Other race alone or in combination,2,95300
11013,r012_7,Other engineers,Median earnings,Hispanic,2,87304
11013,r013_1,Physicians,Median earnings,All workers,2,225364
11013,r013_2,Physicians,Median earnings,White,2,239139
11013,r013_3,Physicians,Median earnings,Asian,2,224786
11013,r013_4,Physicians,Median earnings,Black or African American,2,193256
11013,r013_5,Physicians,Median earnings,American Indian or Alaska Native,2,s
11013,r013_6,Physicians,Median earnings,Other race alone or in combination,2,208970
11013,r013_7,Physicians,Median earnings,Hispanic,2,199729
11013,r014_1,Registered nurses,Median earnings,All workers,2,71210
11013,r014_2,Registered nurses,Median earnings,White,2,69881
11013,r014_3,Registered nurses,Median earnings,Asian,2,85907
11013,r014_4,Registered nurses,Median earnings,Black or African American,2,69424
11013,r014_5,Registered nurses,Median earnings,American Indian or Alaska Native,2,59219
11013,r014_6,Registered nurses,Median earnings,Other race alone or in combination,2,71118
11013,r014_7,Registered nurses,Median earnings,Hispanic,2,69523
11013,r015_1,Software developers,Median earnings,All workers,2,119038
11013,r015_2,Software developers,Median earnings,White,2,114910
11013,r015_3,Software developers,Median earnings,Asian,2,124958
11013,r015_4,Software developers,Median earnings,Black or African American,2,99126
11013,r015_5,Software developers,Median earnings,American Indian or Alaska Native,2,99938
11013,r015_6,Software developers,Median earnings,Other race alone or in combination,2,111488
11013,r015_7,Software developers,Median earnings,Hispanic,2,99558
