table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_design_number,field_research_and_development_design_se,field_research_and_development_development_number,field_research_and_development_development_se,field_total_number,field_total_se,field_computer_applications_number,field_computer_applications_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
3696,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,White,4,562350,1750,210100,1650,107300,1425,57100,1100,13350,650,32350,975,352250,1875,20850,625,114850,1700,72000,1275,118850,1450,25800,825
3696,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>d</sup> -> Other race<sup>e</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>d</sup>,Other race<sup>e</sup>,4,11950,400,4600,275,2200,175,1400,150,200,75,800,150,7300,325,400,100,2600,225,1300,175,2300,175,750,125
3696,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99050,1050,57250,925,26500,750,15900,525,3750,300,11150,550,41800,850,8250,400,10550,475,7500,400,11400,475,4150,300
3696,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,128800,1375,63900,1175,32000,800,15950,600,4050,350,11850,550,64900,1050,8350,450,20450,625,10850,575,20600,650,4600,300
3696,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,117500,1325,51300,1175,25250,800,13550,575,3050,300,9400,600,66200,1125,7100,550,21750,675,11000,500,21450,700,4850,350
3696,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,108400,1450,40550,925,18400,650,11600,575,2400,250,8100,425,67850,1250,4900,350,24450,800,11500,650,22300,775,4700,350
3696,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,100900,1375,36650,1000,16900,750,9400,550,2600,300,7750,425,64250,1125,5000,450,24750,775,11450,575,19050,700,3950,300
3696,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,101950,1400,35700,875,17200,750,8600,475,3150,375,6750,400,66250,1275,4500,350,24750,825,10950,625,21200,675,4800,325
3696,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,88300,1400,31550,850,15700,500,7750,500,2650,300,5450,400,56750,1175,3300,300,18150,700,11250,500,19500,650,4550,400
3696,r021,Doctorate recipient -> Age -> 65&#8211;75,Doctorate recipient,Age,65&#8211;75,,3,112350,1625,34150,900,16700,625,9950,550,2350,300,5150,400,78250,1475,2950,275,20600,750,22500,850,25500,775,6700,450
3696,r022,Doctorate recipient -> Years since doctorate,Doctorate recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r023,Doctorate recipient -> Years since doctorate -> &#8804; 5,Doctorate recipient,Years since doctorate,&#8804; 5,,3,142500,625,75600,975,37250,900,19650,575,4900,400,13800,600,66850,900,10850,475,15650,500,12550,500,22250,650,5600,375
3696,r024,Doctorate recipient -> Years since doctorate -> 6&#8211;10,Doctorate recipient,Years since doctorate,6&#8211;10,,3,154750,1025,71500,1075,35550,800,17450,625,4350,400,14150,600,83250,1100,9200,475,25600,725,13100,475,29000,775,6350,375
3696,r025,Doctorate recipient -> Years since doctorate -> 11&#8211;15,Doctorate recipient,Years since doctorate,11&#8211;15,,3,127000,1150,51100,1025,24700,750,13550,650,3500,325,9300,500,75900,1150,6450,450,26200,750,12900,625,25100,750,5250,350
3696,r026,Doctorate recipient -> Years since doctorate -> 16&#8211;20,Doctorate recipient,Years since doctorate,16&#8211;20,,3,108700,825,39750,900,18800,675,10800,550,2550,275,7650,450,68950,1125,5100,375,24750,725,11950,625,21700,625,5450,350
3696,r027,Doctorate recipient -> Years since doctorate -> 21&#8211;25,Doctorate recipient,Years since doctorate,21&#8211;25,,3,104250,825,35750,925,15650,525,9200,625,3100,325,7750,475,68500,1000,5550,425,25700,725,12700,650,20050,675,4500,350
3696,r028,Doctorate recipient -> Years since doctorate -> > 25,Doctorate recipient,Years since doctorate,> 25,,3,220000,1575,77300,1225,36700,950,22050,800,5650,525,12900,525,142750,1575,7250,400,47500,1225,33850,975,42950,825,11150,575
3696,r029,Doctorate recipient -> Citizenship,Doctorate recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r030,Doctorate recipient -> Citizenship -> U.S. citizen,Doctorate recipient,Citizenship,U.S. citizen,,3,732750,2000,277600,2025,138450,1525,72400,1375,18500,825,48250,1275,455150,2050,31050,750,152800,1950,91100,1550,145750,1650,34500,925
3696,r031,Doctorate recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate recipient,Citizenship,U.S. citizen,Native-born,4,555150,1575,199050,1625,105050,1300,52700,1150,11550,575,29650,925,356150,1750,17700,525,116700,1675,76050,1300,119350,1550,26350,825
3696,r032,Doctorate recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate recipient,Citizenship,U.S. citizen,Naturalized,4,177600,1675,78600,1250,33400,950,19700,875,6950,525,18600,800,99000,1350,13350,575,36100,975,15000,750,26400,875,8150,475
3696,r033,Doctorate recipient -> Citizenship -> Non-U.S. citizen,Doctorate recipient,Citizenship,Non-U.S. citizen,,3,124450,1600,73350,1250,30200,900,20300,750,5550,450,17350,700,51100,1025,13400,650,12650,575,6000,425,15300,625,3800,375
3696,r034,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,87200,1475,48400,1050,19350,750,12900,625,3750,375,12450,575,38750,1025,9100,600,10600,550,4600,350,11650,600,2800,325
3696,r035,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,37300,900,24950,775,10850,550,7400,450,1800,250,4900,375,12300,550,4300,325,2000,250,1400,225,3650,325,1000,175
3696,r036,Doctorate recipient -> Sector of employment,Doctorate recipient,Sector of employment,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r037,Doctorate recipient -> Sector of employment -> 4-year educational institution<sup>f</sup>,Doctorate recipient,Sector of employment,4-year educational institution<sup>f</sup>,,3,344350,2325,140200,1550,61700,1250,74100,1475,1400,200,3050,275,204150,1725,3450,275,45900,850,12600,650,132800,1575,9350,500
3696,r038,Doctorate recipient -> Sector of employment -> Other educational institution<sup>g</sup>,Doctorate recipient,Sector of employment,Other educational institution<sup>g</sup>,,3,30900,900,1750,225,950,175,400,125,100,50,250,75,29150,875,200,50,3450,300,2700,250,21550,775,1300,175
3696,r039,"Doctorate recipient -> Sector of employment -> Private, for profit<sup>h</sup>",Doctorate recipient,Sector of employment,"Private, for profit<sup>h</sup>",,3,306300,2500,139500,1625,63450,1200,4650,425,18050,875,53350,1225,166750,2075,34250,925,76300,1475,38150,1125,2750,250,15350,525
3696,r040,"Doctorate recipient -> Sector of employment -> Private, nonprofit",Doctorate recipient,Sector of employment,"Private, nonprofit",,3,55900,1125,25300,700,15150,575,6350,350,1300,200,2500,250,30600,900,2050,300,13200,600,11200,600,1350,200,2850,250
3696,r041,Doctorate recipient -> Sector of employment -> Federal government,Doctorate recipient,Sector of employment,Federal government,,3,50150,1025,24300,750,16600,600,4750,325,850,150,2100,225,25850,725,1700,225,13250,475,6150,425,350,75,4350,325
3696,r042,Doctorate recipient -> Sector of employment -> State or local government,Doctorate recipient,Sector of employment,State or local government,,3,18850,750,6650,400,4350,325,1100,200,700,175,550,125,12200,650,1100,200,5600,375,3600,325,350,125,1600,200
3696,r043,Doctorate recipient -> Sector of employment -> Self-employed<sup>i</sup>,Doctorate recipient,Sector of employment,Self-employed<sup>i</sup>,,3,40750,1100,8750,500,4200,300,800,150,1150,200,2600,275,32000,975,1000,150,5400,400,21250,750,1750,250,2600,275
3696,r044,Doctorate recipient -> Sector of employment -> Other sector<sup>j</sup>,Doctorate recipient,Sector of employment,Other sector<sup>j</sup>,,3,10050,550,4500,325,2200,225,600,150,500,125,1200,200,5550,400,650,150,2300,250,1450,250,150,75,1000,225
3696,r045,Doctorate recipient -> Employer location,Doctorate recipient,Employer location,,,2,,,,,,,,,,,,,,,,,,,,,,,,
3696,r046,Doctorate recipient -> Employer location -> New England,Doctorate recipient,Employer location,New England,,3,77100,1375,34250,975,16150,575,10200,525,1950,275,5950,425,42850,1075,3600,325,14500,675,9100,525,12800,525,2900,275
3696,r047,Doctorate recipient -> Employer location -> Middle Atlantic,Doctorate recipient,Employer location,Middle Atlantic,,3,117450,1875,44500,1125,21600,775,13150,675,2050,250,7750,450,72900,1450,5850,400,21950,850,15650,675,24750,775,4750,375
3696,r048,Doctorate recipient -> Employer location -> East North Central,Doctorate recipient,Employer location,East North Central,,3,100900,1550,40050,975,19250,725,11800,550,2350,250,6700,450,60850,1050,4350,350,19150,700,10400,550,22750,750,4150,325
3696,r049,Doctorate recipient -> Employer location -> West North Central,Doctorate recipient,Employer location,West North Central,,3,48750,1175,18950,725,9150,475,5800,500,1000,225,3000,300,29800,850,1400,200,8750,525,5400,400,11800,525,2450,275
3696,r050,Doctorate recipient -> Employer location -> South Atlantic,Doctorate recipient,Employer location,South Atlantic,,3,163650,1900,66450,1300,36050,900,17150,700,3900,400,9300,550,97200,1325,6500,425,34250,875,17800,650,30000,750,8650,475
3696,r051,Doctorate recipient -> Employer location -> East South Central,Doctorate recipient,Employer location,East South Central,,3,30550,1000,11400,600,5750,350,3950,350,500,100,1150,200,19150,750,850,150,5100,400,2900,275,9200,450,1050,150
3696,r052,Doctorate recipient -> Employer location -> West South Central,Doctorate recipient,Employer location,West South Central,,3,68800,1325,27100,825,12000,475,7650,500,2400,275,5050,425,41700,1075,2750,300,13400,625,8300,450,14250,575,3000,300
3696,r053,Doctorate recipient -> Employer location -> Mountain,Doctorate recipient,Employer location,Mountain,,3,58200,1275,25450,800,12550,525,6200,375,2300,300,4400,375,32750,950,2150,250,10700,525,7050,500,10350,475,2500,250
3696,r054,Doctorate recipient -> Employer location -> Pacific,Doctorate recipient,Employer location,Pacific,,3,185950,2075,81100,1400,35250,825,16400,650,7600,500,21850,925,104850,1525,16750,675,36450,950,19750,800,23350,700,8550,500
3696,r055,Doctorate recipient -> Employer location -> U.S. territories and other areas,Doctorate recipient,Employer location,U.S. territories and other areas,,3,5850,425,1700,200,900,175,350,75,,,400,125,4150,350,200,75,1150,150,700,175,1800,225,300,100
