table_id,row_id,country_or_economy_full_path,country_or_economy_level_1,country_or_economy_level_2,country_or_economy_level_3,country_or_economy_hierarchy_depth,field_rank,field_doctorate_recipients
970,r017,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Italy ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Italy ,3,15,161
970,r018,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Egypt ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Egypt ,3,16,156
970,r019,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Germany,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Germany,3,17,154
970,r020,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Sri Lanka,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Sri Lanka,3,18,147
970,r021,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Vietnam ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Vietnam ,3,19,133
970,r022,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Chile ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Chile ,3,20,128
970,r023,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Japan ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Japan ,3,21,117
970,r024,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Jordan ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Jordan ,3,22,116
970,r025,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Nigeria ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Nigeria ,3,23,113
970,r026,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Pakistan,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Pakistan,3,23,113
970,r027,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Russian Federation (former USSR) ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Russian Federation (former USSR) ,3,25,112
970,r028,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> France ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,France ,3,26,107
970,r029,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> United Kingdom,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,United Kingdom,3,27,103
970,r030,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Singapore,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Singapore,3,28,101
970,r031,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Spain ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Spain ,3,29,100
970,r032,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Greece,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Greece,3,30,89
970,r033,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Ghana ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Ghana ,3,31,87
970,r034,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Israel ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Israel ,3,32,77
970,r035,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Indonesia ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Indonesia ,3,33,69
970,r036,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Malaysia ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Malaysia ,3,34,65
970,r037,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Kenya ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Kenya ,3,35,57
970,r038,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Argentina ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Argentina ,3,36,52
970,r039,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Iraq,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Iraq,3,36,52
970,r040,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Lebanon,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Lebanon,3,36,52
970,r041,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Peru ,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Peru ,3,39,50
970,r042,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Ecuador,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Ecuador,3,40,49
970,r043,All temporary visa holders (160 countries or economies)<sup>a</sup> -> Top 41 countries or economies of origin -> Libya,All temporary visa holders (160 countries or economies)<sup>a</sup>,Top 41 countries or economies of origin,Libya,3,40,49
