table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
8186,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,137050,1025,45900,1025,5450,375,60000,1150,7750,400,9700,475,3100,275,4100,375,1050,175
8186,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,6350,175,3050,225,150,50,1600,150,700,100,400,100,200,100,100,50,100,50
8186,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,66350,800,19750,725,2900,275,34350,825,2650,250,3350,325,1100,200,1900,250,400,125
8186,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,22050,325,9850,325,800,100,5300,275,1300,100,2850,175,1050,125,700,125,250,50
8186,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,42300,675,13250,575,1550,275,18800,750,3100,325,3100,300,750,150,1400,275,350,125
8186,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,113500,825,38700,800,6350,425,26750,800,10650,575,6700,475,3900,400,19750,750,700,150
8186,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,99700,1000,60250,950,4350,375,13850,650,7300,475,5950,450,2600,225,3900,325,1500,200
8186,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,27300,550,14300,575,350,125,6000,400,2000,250,2300,275,650,150,750,150,950,175
8186,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,20500,550,12900,500,950,225,2500,275,1700,250,1100,200,650,150,650,150,100,50
8186,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,15650,375,10600,450,850,150,1400,200,1150,150,600,150,400,75,550,100,150,75
8186,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,36300,575,22450,500,2200,225,3950,275,2400,225,1950,225,950,125,2000,225,350,100
8186,r024,All fields -> Engineering,All fields,Engineering,,,2,183100,1325,46850,1150,1850,250,107350,1400,7750,475,9550,550,3250,300,4500,400,1950,275
8186,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7150,250,1700,200,,,3600,275,550,100,900,150,150,50,150,50,100,50
8186,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,21650,500,3750,375,300,100,14000,550,850,175,1500,250,350,125,650,175,250,100
8186,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,19750,575,6600,400,150,75,9250,500,550,125,950,175,1500,225,450,125,250,100
8186,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,50400,650,10600,500,500,175,34150,775,1700,275,1300,175,400,100,1150,250,650,175
8186,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,27500,450,7650,475,250,100,16250,575,750,125,1550,225,300,125,600,175,200,75
8186,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,17450,400,3300,350,250,125,11100,425,950,200,1000,175,200,100,400,125,200,75
8186,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,39250,525,13250,475,350,75,19050,550,2450,225,2350,200,350,75,1100,150,350,75
8186,r032,All fields -> Health,All fields,Health,,,2,41650,525,21600,600,950,175,10050,400,4250,300,2250,250,850,125,1350,175,350,100
