table_id,row_id,industry_naics_code_and_company_size_full_path,industry_naics_code_and_company_size_level_1,industry_naics_code_and_company_size_level_2,industry_naics_code_and_company_size_level_3,industry_naics_code_and_company_size_level_4,industry_naics_code_and_company_size_hierarchy_depth,field_domestic_net_sales_us_millions_a,field_all_r_d_us_millions_b,field_r_d_intensity_c,field_domestic_employment_thousands_d_total,field_domestic_employment_thousands_d_r_de
2357,r023,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,2057384,20281,1.0,5762,125
2357,r024,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,,,,,
2357,r025,Size of company (number of domestic employees) -> Small companies<sup>f</sup>,Size of company (number of domestic employees),Small companies<sup>f</sup>,,,2,,,,,
2357,r026,Size of company (number of domestic employees) -> Small companies<sup>f</sup> -> 10&#8211;19,Size of company (number of domestic employees),Small companies<sup>f</sup>,10&#8211;19,,3,20349,4390,21.6,64,25
2357,r027,Size of company (number of domestic employees) -> Small companies<sup>f</sup> -> 20&#8211;49,Size of company (number of domestic employees),Small companies<sup>f</sup>,20&#8211;49,,3,69771,11252,16.1,236,68
2357,r028,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,,,,,
2357,r029,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,126982,12321,9.7,342,80
2357,r030,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,300151,18547,6.2,771,126
2357,r031,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,,,,,
2357,r032,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,279802,19645,7.0,732,102
2357,r033,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,408482,17657,4.3,849,91
2357,r034,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,1450957,68578,4.7,2816,306
2357,r035,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,1001344,45337,4.5,1713,178
2357,r036,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,2262566,84420,3.7,3454,304
2357,r037,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,4778360,158889,3.3,9667,486
