table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_personnel_headcount_total_,field_r_d_personnel_headcount_researchersa,field_r_d_personnel_headcount_technicians,field_r_d_personnel_headcount_support_staff,field_r_d_personnel_full_time_equivalent_total_,field_r_d_personnel_full_time_equivalent_researchersa,field_r_d_personnel_full_time_equivalent_technicians,field_r_d_personnel_full_time_equivalent_support_staff
12541,r013,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,33,16,11,6,32.5,15.5,11.0,6.0
12541,r014,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,15,8,5,2,14.5,7.5,5.0,2.0
12541,r015,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,6,4,2,0,6.0,4.0,2.0,0.0
12541,r016,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,12,4,4,4,12.0,4.0,4.0,4.0
12541,r017,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,129,86,26,17,54.0,33.5,15.5,5.0
12541,r018,United States<sup>b</sup> -> Arkansas -> Game and Fish Commission,United States<sup>b</sup>,Arkansas,Game and Fish Commission,3,120,80,25,15,49.0,30.0,15.0,4.0
12541,r019,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,1,1,0,0,1.0,1.0,0.0,0.0
12541,r020,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,8,5,1,2,4.0,2.5,0.5,1.0
12541,r021,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,636,522,19,95,520.0,430.9,5.9,83.2
12541,r022,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,74,61,3,10,73.1,61.0,2.4,9.7
12541,r023,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,25,23,0,2,8.6,8.2,0.0,0.4
12541,r024,United States<sup>b</sup> -> California -> Emergency Services Governor's Office,United States<sup>b</sup>,California,Emergency Services Governor's Office,3,1,0,0,1,1.0,0.0,0.0,1.0
12541,r025,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,179,148,0,31,179.0,148.0,0.0,31.0
12541,r026,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,133,98,0,35,123.4,91.5,0.0,31.9
12541,r027,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,26,12,10,4,10.0,5.0,0.0,5.0
12541,r028,"United States<sup>b</sup> -> California -> Housing and Community Development, Department of",United States<sup>b</sup>,California,"Housing and Community Development, Department of",3,3,3,0,0,0.5,0.5,0.0,0.0
12541,r029,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,18,14,0,4,15.1,11.6,0.0,3.5
12541,r030,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,88,80,0,8,34.3,33.6,0.0,0.7
12541,r031,"United States<sup>b</sup> -> California -> Toxic Substances Control, Department of",United States<sup>b</sup>,California,"Toxic Substances Control, Department of",3,15,13,2,0,1.5,1.5,0.0,0.0
12541,r032,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,73,69,4,0,72.5,69.0,3.5,0.0
12541,r033,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,1,1,0,0,1.0,1.0,0.0,0.0
12541,r034,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,99,61,35,3,59.2,48.1,9.8,1.3
12541,r035,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,34,5,29,0,9.1,1.8,7.3,0.0
12541,r036,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,38,30,6,2,23.5,20.7,2.5,0.3
12541,r037,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,22,22,0,0,21.6,21.6,0.0,0.0
12541,r038,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,5,4,0,1,5.0,4.0,0.0,1.0
12541,r039,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,269,182,36,51,167.7,119.4,34.0,14.3
12541,r040,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,103,59,32,12,103.0,59.0,32.0,12.0
12541,r041,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,54,50,4,0,27.0,25.0,2.0,0.0
12541,r042,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,36,35,0,1,30.9,29.9,0.0,1.0
12541,r043,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,32,32,0,0,2.2,2.2,0.0,0.0
12541,r044,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,44,6,0,38,4.6,3.3,0.0,1.3
12541,r045,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,18,12,1,5,18.0,12.0,1.0,5.0
12541,r046,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,18,12,1,5,18.0,12.0,1.0,5.0
12541,r047,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,31,9,10,12,21.5,7.0,7.5,7.0
12541,r048,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,25,4,9,12,16.5,2.5,7.0,7.0
12541,r049,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,2,1,1,0,1.5,1.0,0.5,0.0
12541,r050,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,4,4,0,0,3.5,3.5,0.0,0.0
12541,r051,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,864,658,62,144,800.3,618.2,73.5,108.6
12541,r052,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,11,4,7,0,11.0,4.0,7.0,0.0
12541,r053,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,1,1,0,0,0.5,0.0,0.5,0.0
12541,r054,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,832,649,42,141,775.0,612.0,57.0,106.0
12541,r055,"United States<sup>b</sup> -> Florida -> Transportation, Department of",United States<sup>b</sup>,Florida,"Transportation, Department of",3,20,4,13,3,13.8,2.2,9.0,2.6
12541,r056,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,,2,9,4,1,4,7.4,4.5,1.0,1.9
12541,r057,United States<sup>b</sup> -> Georgia -> Southern States Energy Board,United States<sup>b</sup>,Georgia,Southern States Energy Board,3,9,4,1,4,7.4,4.5,1.0,1.9
12541,r058,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,,2,12,5,1,6,4.9,1.5,0.2,3.2
12541,r059,"United States<sup>b</sup> -> Hawaii -> Agriculture, Department of",United States<sup>b</sup>,Hawaii,"Agriculture, Department of",3,10,5,1,4,2.9,1.5,0.2,1.2
12541,r060,"United States<sup>b</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>b</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2,0,0,2,2.0,0.0,0.0,2.0
12541,r061,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,,2,83,28,51,4,67.0,22.1,42.6,2.3
12541,r062,"United States<sup>b</sup> -> Idaho -> Fish and Game, Department of",United States<sup>b</sup>,Idaho,"Fish and Game, Department of",3,81,28,51,2,65.0,22.1,42.6,0.3
12541,r063,United States<sup>b</sup> -> Idaho -> Transportation Department,United States<sup>b</sup>,Idaho,Transportation Department,3,2,0,0,2,2.0,0.0,0.0,2.0
12541,r064,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,,2,9,5,2,2,6.1,3.8,1.5,0.8
12541,r065,"United States<sup>b</sup> -> Illinois -> Transportation, Department of",United States<sup>b</sup>,Illinois,"Transportation, Department of",3,9,5,2,2,6.1,3.8,1.5,0.8
12541,r066,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,,2,110,50,42,18,64.4,37.0,19.0,8.4
12541,r067,"United States<sup>b</sup> -> Indiana -> Natural Resources, Department of",United States<sup>b</sup>,Indiana,"Natural Resources, Department of",3,80,40,28,12,49.0,27.0,15.0,7.0
12541,r068,"United States<sup>b</sup> -> Indiana -> Transportation, Department of",United States<sup>b</sup>,Indiana,"Transportation, Department of",3,30,10,14,6,15.4,10.0,4.0,1.4
12541,r069,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,,2,23,18,4,1,11.9,10.0,1.9,0.0
12541,r070,"United States<sup>b</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>b</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,9,8,0,1,5.0,5.0,0.0,0.0
12541,r071,"United States<sup>b</sup> -> Iowa -> Natural Resources, Department of",United States<sup>b</sup>,Iowa,"Natural Resources, Department of",3,14,10,4,0,6.9,5.0,1.9,0.0
12541,r072,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,,2,28,16,6,6,22.1,11.1,6.0,5.0
12541,r073,United States<sup>b</sup> -> Kansas -> State Board of Regents,United States<sup>b</sup>,Kansas,State Board of Regents,3,2,2,0,0,0.1,0.1,0.0,0.0
12541,r074,"United States<sup>b</sup> -> Kansas -> Transportation, Department of",United States<sup>b</sup>,Kansas,"Transportation, Department of",3,19,9,6,4,19.0,9.0,6.0,4.0
12541,r075,United States<sup>b</sup> -> Kansas -> Water Office,United States<sup>b</sup>,Kansas,Water Office,3,7,5,0,2,3.0,2.0,0.0,1.0
12541,r076,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,,2,242,136,100,6,16.5,12.4,3.8,0.3
12541,r077,"United States<sup>b</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>b</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,238,132,100,6,15.5,11.4,3.8,0.3
12541,r078,"United States<sup>b</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>b</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,4,4,0,0,1.0,1.0,0.0,0.0
12541,r079,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,,2,303,165,94,44,105.4,78.5,17.0,9.9
12541,r080,United States<sup>b</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>b</sup>,Louisiana,Coastal Protection and Restoration Authority,3,11,7,0,4,7.5,6.5,0.0,1.0
12541,r081,"United States<sup>b</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>b</sup>,Louisiana,"Transportation and Development, Department of ",3,52,36,12,4,52.0,36.0,12.0,4.0
12541,r082,"United States<sup>b</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>b</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,240,122,82,36,45.9,36.0,5.0,4.9
12541,r083,United States<sup>b</sup> -> Maine,United States<sup>b</sup>,Maine,,2,182,122,44,16,111.7,60.0,38.2,13.5
12541,r084,"United States<sup>b</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>b</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,12,9,1,2,11.0,9.0,1.0,1.0
12541,r085,United States<sup>b</sup> -> Maine -> Aquaculture Innovation Center,United States<sup>b</sup>,Maine,Aquaculture Innovation Center,3,5,3,2,0,5.0,3.0,2.0,0.0
12541,r086,"United States<sup>b</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>b</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,60,60,0,0,5.0,5.0,0.0,0.0
12541,r087,"United States<sup>b</sup> -> Maine -> Marine Resources, Department of",United States<sup>b</sup>,Maine,"Marine Resources, Department of",3,42,29,9,4,31.0,22.0,6.5,2.5
12541,r088,"United States<sup>b</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>b</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,59,19,30,10,55.7,19.0,26.7,10.0
12541,r089,"United States<sup>b</sup> -> Maine -> Transportation, Department of ",United States<sup>b</sup>,Maine,"Transportation, Department of ",3,4,2,2,0,4.0,2.0,2.0,0.0
12541,r090,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,20,4,9,7,10.9,0.0,6.9,4.0
12541,r091,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,20,4,9,7,10.9,0.0,6.9,4.0
12541,r092,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,55,27,20,8,19.5,12.7,4.2,2.6
12541,r093,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,34,14,16,4,7.0,3.0,3.0,1.0
12541,r094,"United States<sup>b</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>b</sup>,Massachusetts,"Fish and Game, Department of ",3,10,4,3,3,3.5,2.0,1.0,0.5
12541,r095,United States<sup>b</sup> -> Massachusetts -> Gaming Commission,United States<sup>b</sup>,Massachusetts,Gaming Commission,3,2,2,0,0,1.6,1.5,0.0,0.1
12541,r096,United States<sup>b</sup> -> Massachusetts -> MassVentures,United States<sup>b</sup>,Massachusetts,MassVentures,3,1,0,0,1,1.0,0.0,0.0,1.0
12541,r097,"United States<sup>b</sup> -> Massachusetts -> Transportation, Department of",United States<sup>b</sup>,Massachusetts,"Transportation, Department of",3,6,6,0,0,6.0,6.0,0.0,0.0
12541,r098,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,2,1,1,0,0.4,0.2,0.2,0.0
12541,r099,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,4,1,2,1,0.7,0.5,0.0,0.2
12541,r100,"United States<sup>b</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>b</sup>,Michigan,"Agriculture and Rural Development, Department of",3,1,1,0,0,0.5,0.5,0.0,0.0
12541,r101,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes, and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes, and Energy, Department of",3,3,0,2,1,0.2,0.0,0.0,0.2
12541,r102,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,83,50,23,10,61.1,42.0,12.9,6.2
12541,r103,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,30,11,15,4,8.9,3.0,4.9,1.0
12541,r104,"United States<sup>b</sup> -> Minnesota -> Health, Department of",United States<sup>b</sup>,Minnesota,"Health, Department of",3,3,2,0,1,2.2,2.0,0.0,0.2
12541,r105,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,50,37,8,5,50.0,37.0,8.0,5.0
12541,r106,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,137,42,84,11,38.4,16.3,21.0,1.1
12541,r107,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,11,3,0,8,0.3,0.2,0.0,0.1
12541,r108,United States<sup>b</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>b</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,1,1,0,0,1.0,1.0,0.0,0.0
12541,r109,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,9,8,1,0,4.0,3.8,0.2,0.0
12541,r110,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,3,0,0,3,1.0,0.0,0.0,1.0
12541,r111,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,113,30,83,0,32.1,11.3,20.8,0.0
12541,r112,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,218,77,133,8,103.0,60.0,41.0,2.0
12541,r113,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,218,77,133,8,103.0,60.0,41.0,2.0
12541,r114,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,65,28,29,8,13.9,4.9,6.7,2.3
12541,r115,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,5,4,1,0,0.7,0.5,0.2,0.0
12541,r116,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,50,21,26,3,9.4,3.2,5.2,1.0
12541,r117,"United States<sup>b</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>b</sup>,Montana,"Natural Resources and Conservation, Department of",3,2,2,0,0,0.2,0.2,0.0,0.0
12541,r118,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,8,1,2,5,3.6,1.0,1.3,1.3
12541,r119,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,9,1,8,0,1.2,1.0,0.2,0.0
12541,r120,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,9,1,8,0,1.2,1.0,0.2,0.0
12541,r121,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,9,5,4,0,1.2,0.4,0.8,0.0
12541,r122,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,3,1,2,0,1.2,0.4,0.8,0.0
12541,r123,"United States<sup>b</sup> -> Nevada -> Conservation and Natural Resources, Department of",United States<sup>b</sup>,Nevada,"Conservation and Natural Resources, Department of",3,6,4,2,0,0.0,0.0,0.0,0.0
12541,r124,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,15,1,3,11,1.2,1.0,0.1,0.1
12541,r125,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,15,1,3,11,1.2,1.0,0.1,0.1
12541,r126,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,48,43,1,4,19.4,15.8,0.5,3.1
12541,r127,"United States<sup>b</sup> -> New Jersey -> Children and Families, Department of",United States<sup>b</sup>,New Jersey,"Children and Families, Department of",3,11,11,0,0,1.2,1.2,0.0,0.0
12541,r128,"United States<sup>b</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>b</sup>,New Jersey,"Community Affairs, Department of ",3,3,2,0,1,0.2,0.1,0.0,0.1
12541,r129,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,3,3,0,0,3.0,3.0,0.0,0.0
12541,r130,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,23,21,1,1,11.5,10.5,0.5,0.5
12541,r131,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,5,5,0,0,1.0,0.0,0.0,1.0
12541,r132,"United States<sup>b</sup> -> New Jersey -> State Parole Board, New Jersey",United States<sup>b</sup>,New Jersey,"State Parole Board, New Jersey",3,3,1,0,2,2.5,1.0,0.0,1.5
12541,r133,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,55,35,4,16,10.0,5.0,0.5,4.5
12541,r134,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,52,35,4,13,7.0,5.0,0.5,1.5
12541,r135,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,3,0,0,3,3.0,0.0,0.0,3.0
12541,r136,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,3175,1464,1279,432,2283.3,1006.9,887.5,388.9
12541,r137,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,14,13,1,0,8.0,7.0,1.0,0.0
12541,r138,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,33,20,0,13,26.5,20.0,0.0,6.5
12541,r139,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,90,60,22,8,46.6,28.3,15.8,2.5
12541,r140,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,342,239,75,28,213.1,142.0,51.1,20.0
12541,r141,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,1534,644,697,193,958.0,372.0,406.0,180.0
12541,r142,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,27,17,4,6,17.5,9.7,2.8,5.0
12541,r143,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,12,10,0,2,12.0,10.0,0.0,2.0
12541,r144,United States<sup>b</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>b</sup>,New York,Roswell Park Comprehensive Cancer Center,3,1039,436,427,176,919.2,392.9,359.4,166.9
12541,r145,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,79,22,53,4,77.4,22.0,51.4,4.0
12541,r146,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,5,3,0,2,5.0,3.0,0.0,2.0
12541,r147,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,191,62,103,26,166.0,46.5,97.0,22.5
12541,r148,"United States<sup>b</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,140,31,91,18,140.0,31.0,91.0,18.0
12541,r149,"United States<sup>b</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>b</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,46,27,12,7,21.0,11.5,6.0,3.5
12541,r150,"United States<sup>b</sup> -> North Carolina -> Transportation, Department of",United States<sup>b</sup>,North Carolina,"Transportation, Department of",3,5,4,0,1,5.0,4.0,0.0,1.0
12541,r151,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,,2,18,16,1,1,18.0,16.0,1.0,1.0
12541,r152,"United States<sup>b</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>b</sup>,North Dakota,"Game and Fish, Department of",3,6,6,0,0,6.0,6.0,0.0,0.0
