table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures_passed_through,field_total_to_higher_education_subrecipients,field_total_to_businesses,field_total_to_nonprofit_organizations,field_total_to_other_subrecipients,field_federally_financed_all_r_d_expenditures_passed_through,field_federally_financed_to_higher_education_subrecipients,field_federally_financed_to_businesses,field_federally_financed_to_nonprofit_organizations,field_federally_financed_to_other_subrecipients
8021,r031,"United States -> Arkansas -> Public -> U. Arkansas, Fayetteville",United States,Arkansas,Public,"U. Arkansas, Fayetteville",4,"['7,444', '']","['5,936', '']","['883', '']","['127', '']","['498', '']","['5,343', '']","['4,426', '']","['620', '']","['115', '']","['182', '']"
8021,r032,"United States -> Arkansas -> Public -> U. Arkansas, Little Rock",United States,Arkansas,Public,"U. Arkansas, Little Rock",4,"['1,275', '']","['1,275', '']","['0', '']","['0', '']","['0', '']","['1,275', '']","['1,275', '']","['0', '']","['0', '']","['0', '']"
8021,r033,"United States -> Arkansas -> Public -> U. Arkansas, Pine Bluff",United States,Arkansas,Public,"U. Arkansas, Pine Bluff",4,"['183', '']","['102', '']","['0', '']","['0', '']","['81', '']","['183', '']","['102', '']","['0', '']","['0', '']","['81', '']"
8021,r034,United States -> Arkansas -> Public -> U. Central Arkansas,United States,Arkansas,Public,U. Central Arkansas,4,"['73', '']","['52', '']","['14', '']","['0', '']","['7', '']","['73', '']","['52', '']","['14', '']","['0', '']","['7', '']"
8021,r035,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r036,United States -> California -> Public,United States,California,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r037,"United States -> California -> Public -> California Polytechnic State U., San Luis Obispo",United States,California,Public,"California Polytechnic State U., San Luis Obispo",4,"['1,861', '']","['1,149', '']","['68', '']","['341', '']","['303', '']","['1,355', '']","['667', '']","['44', '']","['341', '']","['303', '']"
8021,r038,"United States -> California -> Public -> California State Polytechnic U., Pomona",United States,California,Public,"California State Polytechnic U., Pomona",4,"['102', '']","['102', '']","['0', '']","['0', '']","['0', '']","['93', '']","['93', '']","['0', '']","['0', '']","['0', '']"
8021,r039,"United States -> California -> Public -> California State U., Bakersfield",United States,California,Public,"California State U., Bakersfield",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r040,"United States -> California -> Public -> California State U., Channel Islands",United States,California,Public,"California State U., Channel Islands",4,"['151', '']","['151', '']","['0', '']","['0', '']","['0', '']","['151', '']","['151', '']","['0', '']","['0', '']","['0', '']"
8021,r041,"United States -> California -> Public -> California State U., Chico",United States,California,Public,"California State U., Chico",4,"['616', '']","['550', '']","['5', '']","['0', '']","['61', '']","['555', '']","['550', '']","['5', '']","['0', '']","['0', '']"
8021,r042,"United States -> California -> Public -> California State U., Dominguez Hills",United States,California,Public,"California State U., Dominguez Hills",4,"['42', '']","['42', '']","['0', '']","['0', '']","['0', '']","['42', '']","['42', '']","['0', '']","['0', '']","['0', '']"
8021,r043,"United States -> California -> Public -> California State U., East Bay",United States,California,Public,"California State U., East Bay",4,"['1,537', '']","['776', '']","['0', '']","['160', '']","['601', '']","['793', '']","['459', '']","['0', '']","['74', '']","['260', '']"
8021,r044,"United States -> California -> Public -> California State U., Fresno",United States,California,Public,"California State U., Fresno",4,"['359', '']","['257', '']","['54', '']","['48', '']","['0', '']","['236', '']","['212', '']","['24', '']","['0', '']","['0', '']"
8021,r045,"United States -> California -> Public -> California State U., Fullerton",United States,California,Public,"California State U., Fullerton",4,"['299', '']","['250', '']","['37', '']","['0', '']","['12', '']","['295', '']","['246', '']","['37', '']","['0', '']","['12', '']"
8021,r046,"United States -> California -> Public -> California State U., Long Beach",United States,California,Public,"California State U., Long Beach",4,"['1,183', '']","['827', '']","['145', '']","['155', '']","['56', '']","['326', '']","['231', '']","['0', '']","['95', '']","['0', '']"
8021,r047,"United States -> California -> Public -> California State U., Los Angeles",United States,California,Public,"California State U., Los Angeles",4,"['341', '']","['278', '']","['0', '']","['63', '']","['0', '']","['194', '']","['131', '']","['0', '']","['63', '']","['0', '']"
8021,r048,"United States -> California -> Public -> California State U., Maritime Academy",United States,California,Public,"California State U., Maritime Academy",4,"['161', '']","['161', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r049,"United States -> California -> Public -> California State U., Monterey Bay",United States,California,Public,"California State U., Monterey Bay",4,"['920', '']","['920', '']","['0', '']","['0', '']","['0', '']","['611', '']","['611', '']","['0', '']","['0', '']","['0', '']"
8021,r050,"United States -> California -> Public -> California State U., Northridge",United States,California,Public,"California State U., Northridge",4,"['756', '']","['722', '']","['0', '']","['24', '']","['10', '']","['746', '']","['722', '']","['0', '']","['24', '']","['0', '']"
8021,r051,"United States -> California -> Public -> California State U., Sacramento",United States,California,Public,"California State U., Sacramento",4,"['1,348', '']","['232', '']","['1,116', '']","['0', '']","['0', '']","['54', '']","['54', '']","['0', '']","['0', '']","['0', '']"
8021,r052,"United States -> California -> Public -> California State U., San Bernardino",United States,California,Public,"California State U., San Bernardino",4,"['594', '']","['594', '']","['0', '']","['0', '']","['0', '']","['198', '']","['198', '']","['0', '']","['0', '']","['0', '']"
8021,r053,"United States -> California -> Public -> California State U., San Marcos",United States,California,Public,"California State U., San Marcos",4,"['715', '']","['610', '']","['0', '']","['105', '']","['0', '']","['683', '']","['578', '']","['0', '']","['105', '']","['0', '']"
8021,r054,"United States -> California -> Public -> California State U., Stanislaus",United States,California,Public,"California State U., Stanislaus",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r055,United States -> California -> Public -> Humboldt State U.,United States,California,Public,Humboldt State U.,4,"['1,027', '']","['148', '']","['527', '']","['26', '']","['326', '']","['105', '']","['0', '']","['105', '']","['0', '']","['0', '']"
8021,r056,United States -> California -> Public -> Naval Postgraduate School,United States,California,Public,Naval Postgraduate School,4,"['1,051', '']","['1,051', '']","['0', '']","['0', '']","['0', '']","['1,051', '']","['1,051', '']","['0', '']","['0', '']","['0', '']"
8021,r057,United States -> California -> Public -> San Diego State U.,United States,California,Public,San Diego State U.,4,"['4,970', '']","['3,109', '']","['158', '']","['1,271', '']","['432', '']","['4,430', '']","['2,808', '']","['158', '']","['1,043', '']","['421', '']"
8021,r058,United States -> California -> Public -> San Francisco State U.,United States,California,Public,San Francisco State U.,4,"['1,703', '']","['1,446', '']","['86', '']","['61', '']","['110', '']","['1,548', '']","['1,397', '']","['0', '']","['41', '']","['110', '']"
8021,r059,United States -> California -> Public -> San Jose State U.,United States,California,Public,San Jose State U.,4,"['4,106', '']","['3,996', '']","['0', '']","['10', '']","['100', '']","['1,374', '']","['1,285', '']","['0', '']","['0', '']","['89', '']"
8021,r060,United States -> California -> Public -> Sonoma State U.,United States,California,Public,Sonoma State U.,4,"['305', '']","['72', '']","['10', '']","['202', '']","['21', '']","['283', '']","['67', '']","['10', '']","['202', '']","['4', '']"
8021,r061,"United States -> California -> Public -> U. California, Berkeley",United States,California,Public,"U. California, Berkeley",4,"['65,987', '']","['37,188', 'i']","['12,419', 'i']","['8,673', 'i']","['7,707', 'i']","['46,310', '']","['26,357', 'i']","['8,776', 'i']","['6,195', 'i']","['4,982', 'i']"
8021,r062,"United States -> California -> Public -> U. California, Davis",United States,California,Public,"U. California, Davis",4,"['57,260', '']","['32,068', 'i']","['10,936', 'i']","['7,662', 'i']","['6,594', 'i']","['46,378', '']","['26,394', 'i']","['8,790', 'i']","['6,204', 'i']","['4,990', 'i']"
8021,r063,"United States -> California -> Public -> U. California, Irvine",United States,California,Public,"U. California, Irvine",4,"['29,838', '']","['25,292', 'i']","['1,562', 'i']","['2,805', 'i']","['179', 'i']","['26,289', '']","['22,347', 'i']","['1,313', 'i']","['2,629', 'i']","['0', 'i']"
8021,r064,"United States -> California -> Public -> U. California, Los Angeles",United States,California,Public,"U. California, Los Angeles",4,"['175,421', '']","['98,048', 'i']","['33,744', 'i']","['23,715', 'i']","['19,914', 'i']","['155,608', '']","['88,565', 'i']","['29,490', 'i']","['20,820', 'i']","['16,733', 'i']"
8021,r065,"United States -> California -> Public -> U. California, Merced",United States,California,Public,"U. California, Merced",4,"['2,661', '']","['823', 'i']","['293', 'i']","['205', 'i']","['1,340', 'i']","['1,491', '']","['823', 'i']","['293', 'i']","['205', 'i']","['170', 'i']"
8021,r066,"United States -> California -> Public -> U. California, Office of the President",United States,California,Public,"U. California, Office of the President",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r067,"United States -> California -> Public -> U. California, Riverside",United States,California,Public,"U. California, Riverside",4,"['11,498', '']","['10,815', 'i']","['287', 'i']","['396', 'i']","['0', 'i']","['9,124', '']","['8,529', 'i']","['199', 'i']","['396', 'i']","['0', 'i']"
8021,r068,"United States -> California -> Public -> U. California, San Diego",United States,California,Public,"U. California, San Diego",4,"['107,470', '']","['59,993', 'i']","['20,511', 'i']","['14,337', 'i']","['12,629', 'i']","['79,262', '']","['45,111', 'i']","['15,021', 'i']","['10,603', 'i']","['8,527', 'i']"
8021,r069,"United States -> California -> Public -> U. California, San Francisco",United States,California,Public,"U. California, San Francisco",4,"['129,786', '']","['71,739', 'i']","['25,047', 'i']","['17,499', 'i']","['15,501', 'i']","['94,471', '']","['53,767', 'i']","['17,903', 'i']","['12,638', 'i']","['10,163', 'i']"
8021,r070,"United States -> California -> Public -> U. California, Santa Barbara",United States,California,Public,"U. California, Santa Barbara",4,"['23,124', '']","['17,275', 'i']","['1,969', 'i']","['717', 'i']","['3,163', 'i']","['16,114', '']","['13,070', 'i']","['1,969', 'i']","['717', 'i']","['358', 'i']"
8021,r071,"United States -> California -> Public -> U. California, Santa Cruz",United States,California,Public,"U. California, Santa Cruz",4,"['14,092', '']","['10,105', 'i']","['2,362', 'i']","['1,625', 'i']","['0', 'i']","['12,599', '']","['8,807', 'i']","['2,167', 'i']","['1,625', 'i']","['0', 'i']"
8021,r072,United States -> California -> Private,United States,California,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r073,United States -> California -> Private -> Azusa Pacific U.,United States,California,Private,Azusa Pacific U.,4,"['18', '']","['18', '']","['0', '']","['0', '']","['0', '']","['18', '']","['18', '']","['0', '']","['0', '']","['0', '']"
8021,r074,United States -> California -> Private -> Biola U.,United States,California,Private,Biola U.,4,"['106', 'i']","['53', 'i']","['16', 'i']","['28', 'i']","['9', 'i']","['91', 'i']","['49', 'i']","['11', 'i']","['25', 'i']","['6', 'i']"
8021,r075,United States -> California -> Private -> California Institute of Technology,United States,California,Private,California Institute of Technology,4,"['58,800', '']","['39,374', '']","['12,640', '']","['3,250', '']","['3,536', '']","['45,129', '']","['34,466', '']","['5,899', '']","['3,169', '']","['1,595', '']"
8021,r076,United States -> California -> Private -> Chapman U.,United States,California,Private,Chapman U.,4,"['2,224', '']","['1,445', '']","['0', '']","['408', '']","['371', '']","['1,670', '']","['1,443', '']","['0', '']","['227', '']","['0', '']"
8021,r077,United States -> California -> Private -> Charles R. Drew U. of Medicine and Science,United States,California,Private,Charles R. Drew U. of Medicine and Science,4,"['1,386', '']","['0', '']","['0', '']","['1,386', '']","['0', '']","['1,386', '']","['0', '']","['0', '']","['1,386', '']","['0', '']"
8021,r078,United States -> California -> Private -> Claremont Graduate U.,United States,California,Private,Claremont Graduate U.,4,"['325', '']","['306', '']","['0', '']","['0', '']","['19', '']","['13', '']","['6', '']","['0', '']","['0', '']","['7', '']"
8021,r079,United States -> California -> Private -> Claremont McKenna C.,United States,California,Private,Claremont McKenna C.,4,"['79', '']","['79', '']","['0', '']","['0', '']","['0', '']","['79', '']","['79', '']","['0', '']","['0', '']","['0', '']"
8021,r080,United States -> California -> Private -> Fielding Graduate U.,United States,California,Private,Fielding Graduate U.,4,"['130', '']","['0', '']","['0', '']","['130', '']","['0', '']","['130', '']","['0', '']","['0', '']","['130', '']","['0', '']"
8021,r081,United States -> California -> Private -> Harvey Mudd C.,United States,California,Private,Harvey Mudd C.,4,"['138', '']","['138', '']","['0', '']","['0', '']","['0', '']","['138', '']","['138', '']","['0', '']","['0', '']","['0', '']"
8021,r082,United States -> California -> Private -> High Tech High Graduate School of Ed.,United States,California,Private,High Tech High Graduate School of Ed.,4,"['137', '']","['137', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r083,United States -> California -> Private -> Keck Graduate Institute,United States,California,Private,Keck Graduate Institute,4,"['460', 'i']","['138', 'i']","['309', 'i']","['0', 'i']","['13', 'i']","['460', 'i']","['138', 'i']","['309', 'i']","['0', 'i']","['13', 'i']"
8021,r084,United States -> California -> Private -> La Sierra U.,United States,California,Private,La Sierra U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r085,United States -> California -> Private -> Loma Linda U.,United States,California,Private,Loma Linda U.,4,"['1,258', '']","['705', '']","['341', '']","['187', '']","['25', '']","['1,178', '']","['697', '']","['274', '']","['182', '']","['25', '']"
8021,r086,United States -> California -> Private -> Loyola Marymount U.,United States,California,Private,Loyola Marymount U.,4,"['473', '']","['325', '']","['0', '']","['78', '']","['70', '']","['310', '']","['310', '']","['0', '']","['0', '']","['0', '']"
8021,r087,United States -> California -> Private -> Marshall B. Ketchum U.,United States,California,Private,Marshall B. Ketchum U.,4,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
8021,r088,United States -> California -> Private -> Mills C.,United States,California,Private,Mills C.,4,"['25', '']","['0', '']","['0', '']","['0', '']","['25', '']","['25', '']","['0', '']","['0', '']","['0', '']","['25', '']"
8021,r089,United States -> California -> Private -> Occidental C.,United States,California,Private,Occidental C.,4,"['134', '']","['114', '']","['0', '']","['0', '']","['20', '']","['114', '']","['114', '']","['0', '']","['0', '']","['0', '']"
8021,r090,United States -> California -> Private -> Pepperdine U.,United States,California,Private,Pepperdine U.,4,"['104', '']","['48', '']","['0', '']","['56', '']","['0', '']","['9', '']","['1', '']","['0', '']","['8', '']","['0', '']"
8021,r091,United States -> California -> Private -> Pomona C.,United States,California,Private,Pomona C.,4,"['22', '']","['22', '']","['0', '']","['0', '']","['0', '']","['22', '']","['22', '']","['0', '']","['0', '']","['0', '']"
8021,r092,United States -> California -> Private -> Santa Clara U.,United States,California,Private,Santa Clara U.,4,"['80', '']","['0', '']","['0', '']","['80', '']","['0', '']","['80', '']","['0', '']","['0', '']","['80', '']","['0', '']"
8021,r093,United States -> California -> Private -> Scripps Research Institute,United States,California,Private,Scripps Research Institute,4,"['69,481', '']","['18,054', '']","['22,190', '']","['28,114', '']","['1,123', '']","['68,549', '']","['17,368', '']","['22,133', '']","['27,925', '']","['1,123', '']"
8021,r094,United States -> California -> Private -> Stanford U.,United States,California,Private,Stanford U.,4,"['92,040', '']","['56,558', '']","['8,195', '']","['17,432', '']","['9,855', '']","['74,199', '']","['45,989', '']","['6,354', '']","['15,763', '']","['6,093', '']"
8021,r095,United States -> California -> Private -> Touro U.,United States,California,Private,Touro U.,4,"['11', '']","['11', '']","['0', '']","['0', '']","['0', '']","['11', '']","['11', '']","['0', '']","['0', '']","['0', '']"
8021,r096,United States -> California -> Private -> U. of the Pacific,United States,California,Private,U. of the Pacific,4,"['34', '']","['12', '']","['0', '']","['0', '']","['22', '']","['34', '']","['12', '']","['0', '']","['0', '']","['22', '']"
8021,r097,United States -> California -> Private -> U. San Diego,United States,California,Private,U. San Diego,4,"['936', '']","['709', '']","['0', '']","['227', '']","['0', '']","['740', '']","['513', '']","['0', '']","['227', '']","['0', '']"
8021,r098,United States -> California -> Private -> U. San Francisco,United States,California,Private,U. San Francisco,4,"['61', '']","['61', '']","['0', '']","['0', '']","['0', '']","['37', '']","['37', '']","['0', '']","['0', '']","['0', '']"
8021,r099,United States -> California -> Private -> U. Southern California,United States,California,Private,U. Southern California,4,"['124,116', '']","['79,623', '']","['18,931', '']","['23,353', '']","['2,209', '']","['103,906', '']","['70,205', '']","['14,038', '']","['18,159', '']","['1,504', '']"
8021,r100,United States -> California -> Private -> Western U. of Health Sciences,United States,California,Private,Western U. of Health Sciences,4,"['1,055', '']","['535', '']","['448', '']","['0', '']","['72', '']","['1,045', '']","['525', '']","['448', '']","['0', '']","['72', '']"
8021,r101,United States -> Colorado,United States,Colorado,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r102,United States -> Colorado -> Public,United States,Colorado,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r103,United States -> Colorado -> Public -> Colorado School of Mines,United States,Colorado,Public,Colorado School of Mines,4,"['7,626', '']","['4,868', '']","['2,463', '']","['148', '']","['147', '']","['7,366', '']","['4,716', '']","['2,391', '']","['137', '']","['122', '']"
8021,r104,"United States -> Colorado -> Public -> Colorado State U., Fort Collins",United States,Colorado,Public,"Colorado State U., Fort Collins",4,"['23,116', '']","['16,967', '']","['2,755', '']","['1,519', '']","['1,875', '']","['20,759', '']","['15,385', '']","['2,614', '']","['1,393', '']","['1,367', '']"
8021,r105,"United States -> Colorado -> Public -> Colorado State U., Pueblo",United States,Colorado,Public,"Colorado State U., Pueblo",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r106,United States -> Colorado -> Public -> Fort Lewis C.,United States,Colorado,Public,Fort Lewis C.,4,"['193', '']","['193', '']","['0', '']","['0', '']","['0', '']","['193', '']","['193', '']","['0', '']","['0', '']","['0', '']"
8021,r107,United States -> Colorado -> Public -> U. Colorado Anschutz Medical Campus,United States,Colorado,Public,U. Colorado Anschutz Medical Campus,4,"['46,521', '']","['27,494', '']","['2,877', '']","['12,687', '']","['3,463', '']","['40,106', '']","['25,261', '']","['2,237', '']","['10,068', '']","['2,540', '']"
8021,r108,United States -> Colorado -> Public -> U. Colorado Boulder,United States,Colorado,Public,U. Colorado Boulder,4,"['65,418', '']","['31,757', '']","['27,138', '']","['4,331', '']","['2,192', '']","['58,638', '']","['28,912', '']","['24,736', '']","['2,798', '']","['2,192', '']"
8021,r109,United States -> Colorado -> Public -> U. Colorado Colorado Springs,United States,Colorado,Public,U. Colorado Colorado Springs,4,"['219', '']","['138', '']","['15', '']","['66', '']","['0', '']","['192', '']","['111', '']","['15', '']","['66', '']","['0', '']"
8021,r110,United States -> Colorado -> Public -> U. Colorado Denver,United States,Colorado,Public,U. Colorado Denver,4,"['712', '']","['258', '']","['164', '']","['55', '']","['235', '']","['358', '']","['240', '']","['116', '']","['2', '']","['0', '']"
8021,r111,United States -> Colorado -> Public -> U. Northern Colorado,United States,Colorado,Public,U. Northern Colorado,4,"['168', '']","['115', '']","['53', '']","['0', '']","['0', '']","['168', '']","['115', '']","['53', '']","['0', '']","['0', '']"
8021,r112,United States -> Colorado -> Public -> U.S. Air Force Academy,United States,Colorado,Public,U.S. Air Force Academy,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r113,United States -> Colorado -> Private,United States,Colorado,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8021,r114,United States -> Colorado -> Private -> Colorado C.,United States,Colorado,Private,Colorado C.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8021,r115,United States -> Colorado -> Private -> U. Denver,United States,Colorado,Private,U. Denver,4,"['4,454', '']","['1,994', '']","['681', '']","['1,779', '']","['0', '']","['3,970', '']","['1,842', '']","['606', '']","['1,522', '']","['0', '']"
