table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
7561,r014,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Social sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Social sciences,4,559,13.2,176,4.2,48,1.1,35,0.8,56,1.3,353,8.3
7561,r015,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,,3,1223,13.3,444,4.8,179,1.9,89,1.0,125,1.4,711,7.7
7561,r016,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Business,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Business,4,102,9.2,54,4.9,16,1.4,8,0.7,15,1.4,40,3.6
7561,r017,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Education,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Education,4,379,12.2,171,5.5,74,2.4,35,1.1,39,1.3,167,5.4
7561,r018,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Humanities,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Humanities,4,401,15.2,110,4.2,48,1.8,26,1.0,37,1.4,289,11.0
7561,r019,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Visual and performing arts,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Visual and performing arts,4,99,15.1,33,5.0,7,1.1,6,0.9,7,1.1,63,9.6
7561,r020,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Non-science and engineering -> Other<sup>a</sup>,Doctorate recipients reporting functional limitation status,Field of doctorate,Non-science and engineering,Other<sup>a</sup>,4,242,14.6,76,4.6,34,2.0,14,0.8,27,1.6,152,9.1
7561,r021,Doctorate recipients reporting functional limitation status -> Sex,Doctorate recipients reporting functional limitation status,Sex,,,2,,,,,,,,,,,,
7561,r022,Doctorate recipients reporting functional limitation status -> Sex -> Male,Doctorate recipients reporting functional limitation status,Sex,Male,,3,2465,10.0,980,4.0,353,1.4,129,0.5,148,0.6,1359,5.5
7561,r023,Doctorate recipients reporting functional limitation status -> Sex -> Female,Doctorate recipients reporting functional limitation status,Sex,Female,,3,2659,12.7,832,4.0,292,1.4,147,0.7,261,1.2,1668,8.0
7561,r024,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>b</sup>,Doctorate recipients reporting functional limitation status,Citizenship status<sup>b</sup>,,,2,,,,,,,,,,,,
7561,r025,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>b</sup> -> U.S. citizen or permanent resident,Doctorate recipients reporting functional limitation status,Citizenship status<sup>b</sup>,U.S. citizen or permanent resident,,3,3749,12.8,920,3.1,512,1.7,212,0.7,253,0.9,2566,8.8
7561,r026,Doctorate recipients reporting functional limitation status -> Citizenship status<sup>b</sup> -> Temporary visa holder,Doctorate recipients reporting functional limitation status,Citizenship status<sup>b</sup>,Temporary visa holder,,3,1375,8.5,891,5.5,133,0.8,64,0.4,156,1.0,462,2.9
