table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
9591,r011,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>a</sup>,4,83,52,,7,,,0,,,,,8,17,31,,18,,,7
9591,r012,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,37.3,36.5,,,0.0,0.0,-,,0.0,,0.0,,52.9,38.7,0.0,,0.0,,
9591,r013,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $70,000 (%)",4,24.1,25.0,,,0.0,0.0,-,0.0,0.0,,0.0,,,22.6,0.0,,0.0,,
9591,r014,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,,3,,,,,,,,,,,,,,,,,,,
9591,r015,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,Total (number)<sup>a</sup>,4,3410,2874,40,808,145,645,43,180,113,97,313,214,276,536,105,155,118,49,109
9591,r016,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,9.4,8.1,12.5,5.4,4.8,5.4,,21.7,4.4,6.2,2.6,,10.5,16.4,,,16.1,,
9591,r017,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Asian -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Asian,"Debt > $70,000 (%)",4,4.9,4.1,,2.6,,1.7,0.0,12.8,,,,,5.1,9.0,,,7.6,,
9591,r018,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,,,,,,,,,,,
9591,r019,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,Total (number)<sup>a</sup>,4,2506,1539,34,310,40,183,15,259,26,36,81,274,281,967,81,541,132,30,183
9591,r020,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,52.0,45.2,44.1,,35.0,18.6,,63.7,26.9,47.2,21.0,69.0,53.7,62.9,69.1,64.7,47.7,56.7,66.7
9591,r021,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Black or African American -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Black or African American,"Debt > $70,000 (%)",4,38.4,33.7,,,22.5,9.8,,49.4,,30.6,,58.0,43.8,45.8,58.0,45.3,32.6,23.3,55.2
9591,r022,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,,3,,,,,,,,,,,,,,,,,,,
9591,r023,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,Total (number)<sup>a</sup>,4,22507,17247,541,4328,458,2798,560,1207,639,486,2185,2032,2013,5260,349,1813,1831,418,849
9591,r024,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,17.7,14.6,12.2,10.1,6.8,6.4,5.0,32.6,8.5,11.7,5.6,34.1,23.2,27.6,21.2,32.4,23.4,27.3,29.1
9591,r025,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> White -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,White,"Debt > $70,000 (%)",4,10.0,8.3,7.0,5.0,3.7,2.6,2.3,19.4,4.1,7.0,2.5,22.4,13.2,15.7,,18.4,13.2,,16.0
9591,r026,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,,3,,,,,,,,,,,,,,,,,,,
9591,r027,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,Total (number)<sup>a</sup>,4,1188,956,17,270,25,164,22,50,48,26,107,116,111,232,12,78,77,20,45
9591,r028,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,19.3,16.3,,12.2,,,,46.0,,,,37.1,27.9,31.5,,30.8,27.3,,46.7
9591,r029,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> More than one race -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,More than one race,"Debt > $70,000 (%)",4,10.6,8.7,,4.8,0.0,,0.0,26.0,,,,24.1,,18.5,,14.1,16.9,0.0,
9591,r030,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,,,,,,,,,,,
9591,r031,U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>a</sup>,4,294,220,,43,,,2,,,,,23,34,74,,21,,,11
9591,r032,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,23.5,20.0,20.0,14.0,,,0.0,,7.7,,,56.5,26.5,33.8,33.3,38.1,38.5,14.3,27.3
9591,r033,"U.S. citizens and permanent residents reporting graduate debt -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Not Hispanic or Latino,Other race or race not reported,"Debt > $70,000 (%)",4,15.0,12.3,0.0,4.7,0.0,,0.0,36.4,0.0,5.9,,43.5,23.5,23.0,22.2,28.6,23.1,14.3,18.2
9591,r034,U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported,U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,,,2,,,,,,,,,,,,,,,,,,,
9591,r035,U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Total (number)<sup>a</sup>,U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,Total (number)<sup>a</sup>,,3,175,131,5,25,6,38,3,8,5,6,9,13,13,44,2,13,19,4,6
9591,r036,"U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Debt > $30,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,"Debt > $30,000 (%)",,3,20.0,16.0,40.0,0.0,16.7,18.4,0.0,25.0,0.0,0.0,0.0,38.5,30.8,31.8,50.0,46.2,15.8,0.0,66.7
9591,r037,"U.S. citizens and permanent residents reporting graduate debt -> Ethnicity not reported -> Debt > $70,000 (%)",U.S. citizens and permanent residents reporting graduate debt,Ethnicity not reported,"Debt > $70,000 (%)",,3,14.9,10.7,40.0,0.0,16.7,5.3,0.0,25.0,0.0,0.0,0.0,38.5,15.4,27.3,50.0,38.5,15.8,0.0,50.0
