table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_employees_total,field_worldwide_employees_r_d,field_worldwide_employees_r_d_employees_,field_domestic_employees_total,field_domestic_employees_r_d,field_domestic_employees_r_d_employees_,field_foreign_employees_total,field_foreign_employees_r_d,field_foreign_employees_r_d_employees_
6595,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['191', '']","['12', '']","['6.4', '']","['79', '']","['7', '']","['9.0', '']","['112', '']","['5', '']","['4.6', '']"
6595,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,131', '']","['84', '']","['7.4', '']","['654', '']","['63', '']","['9.6', '']","['478', '']","['22', '']","['4.5', '']"
6595,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,525', '']","['446', '']","['17.7', '']","['1,167', '']","['264', '']","['22.6', '']","['1,358', '']","['182', '']","['13.4', '']"
6595,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['266', '']","['72', '']","['27.0', '']","['151', '']","['40', '']","['26.5', '']","['114', '']","['32', '']","['27.7', '']"
6595,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['890', '']","['181', '']","['20.3', '']","['309', '']","['95', '']","['30.8', '']","['581', '']","['85', '']","['14.7', '']"
6595,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['869', '']","['110', '']","['12.7', '']","['485', '']","['75', '']","['15.5', '']","['384', '']","['35', 'i']","['9.2', '']"
6595,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['181', '']","['24', 'i']","['13.3', '']","['96', '']","['16', 'i']","['16.8', '']","['85', '']","['8', 'i']","['9.3', '']"
6595,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['307', '']","['40', 'i']","['13.1', '']","['205', '']","['33', '']","['16.1', '']","['102', '']","['7', 'i']","['7.1', '']"
6595,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['381', '']","['46', '']","['12.1', '']","['185', '']","['26', '']","['14.1', '']","['196', '']","['20', '']","['10.2', '']"
6595,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['500', '']","['84', '']","['16.7', '']","['221', '']","['54', '']","['24.3', '']","['279', '']","['30', '']","['10.7', '']"
6595,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['776', '']","['48', '']","['6.1', '']","['319', '']","['25', '']","['7.8', '']","['458', '']","['23', 'i']","['5.0', '']"
6595,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,115', '']","['254', '']","['8.2', '']","['1,835', '']","['183', '']","['9.9', '']","['1,280', '']","['72', '']","['5.6', '']"
6595,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['2,120', '']","['169', '']","['8.0', '']","['1,040', '']","['108', '']","['10.4', '']","['1,080', '']","['61', '']","['5.6', '']"
6595,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['742', '']","['70', '']","['9.4', '']","['612', '']","['61', '']","['10.0', '']","['130', '']","['8', '']","['6.2', '']"
6595,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['717', '']","['62', '']","['8.7', '']","['588', '']","['54', '']","['9.2', '']","['130', '']","['8', '']","['6.3', '']"
6595,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['25', '']","['7', '']","['29.5', '']","['24', '']","['7', '']","['29.9', '']","['*', '']","['*', '']","['0.7', '']"
6595,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['3', '']","['1', '']","['27.5', '']","['3', '']","['1', '']","['27.6', '']","['*', 'i']","['0', '']","['0.0', '']"
6595,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['250', '']","['15', '']","['6.0', '']","['180', '']","['12', '']","['6.8', '']","['70', '']","['3', 'i']","['3.9', '']"
6595,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['164', '']","['4', '']","['2.7', '']","['139', '']","['4', '']","['2.8', '']","['25', '']","['*', '']","['1.8', '']"
6595,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,466', '']","['104', '']","['7.1', '']","['837', '']","['78', '']","['9.4', '']","['630', '']","['26', '']","['4.2', '']"
6595,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['1,079', '']","['82', '']","['7.6', '']","['586', '']","['59', '']","['10.1', '']","['492', '']","['23', '']","['4.7', '']"
6595,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['388', '']","['22', '']","['5.8', '']","['250', '']","['19', '']","['7.7', '']","['137', '']","['3', '']","['2.4', '']"
6595,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['14,766', '']","['1,267', '']","['8.6', '']","['11,113', '']","['870', '']","['7.8', '']","['3,654', '']","['396', '']","['10.9', '']"
6595,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['392', '']","['22', 'i']","['5.7', '']","['181', '']","['12', '']","['6.6', '']","['211', '']","['11', 'i']","['5.0', '']"
6595,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['359', '']","['0 - 35', '']","['D', '']","['348', '']","['0 - 23', '']","['D', '']","['12', '']","['0 - 12', '']","['D', '']"
6595,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['303', 'i']","['16', '']","['5.1', '']","['255', 'i']","['13', '']","['5.2', '']","['48', '']","['2', '']","['4.6', '']"
6595,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['1,008', '']","['42 - 114', '']","['D', '']","['413 - 1,005', '']","['38 - 64', '']","['D', '']","['3 - 595', '']","['3 - 52', '']","['D', '']"
6595,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,357', '']","['19', 'i']","['1.4', '']","['1,047', '']","['18', 'i']","['1.7', '']","['310', '']","['1', 'i']","['0.2', '']"
6595,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,043', '']","['533', '']","['17.5', '']","['2,107', '']","['359', '']","['17.0', '']","['936', '']","['174', '']","['18.6', '']"
6595,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['599', '']","['181', '']","['30.2', '']","['359', '']","['110', '']","['30.6', '']","['241', '']","['71', '']","['29.5', '']"
6595,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['4', '']","['1', '']","['17.7', '']","['3', '']","['1', '']","['17.5', '']","['*', '']","['*', '']","['27.5', '']"
6595,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['596', '']","['180', '']","['30.3', '']","['355', '']","['109', '']","['30.8', '']","['241', '']","['71', '']","['29.5', '']"
6595,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['682', '']","['20', '']","['2.9', '']","['606', '']","['19', '']","['3.1', '']","['77', '']","['1', '']","['1.1', '']"
6595,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,239', '']","['201', '']","['16.2', '']","['768', '']","['126', '']","['16.4', '']","['471', '']","['75', '']","['16.0', '']"
6595,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['522', '']","['130', '']","['25.0', '']","['375', '']","['104', '']","['27.7', '']","['147', '']","['27', '']","['18.1', '']"
6595,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['2,159', '']","['71', '']","['3.3', '']","['1,795', '']","['54', '']","['3.0', '']","['364', '']","['17', '']","['4.6', '']"
6595,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['30', '']","['4', '']","['12.6', '']","['25', '']","['4', '']","['14.3', '']","['5', '']","['*', '']","['4.2', '']"
6595,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['1', '']","['*', '']","['13.4', '']","['1', '']","['*', '']","['13.0', '']","['*', '']","['*', '']","['30.8', '']"
6595,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['28', '']","['4', '']","['12.6', '']","['24', '']","['3', '']","['14.3', '']","['5', '']","['*', '']","['4.0', '']"
6595,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['2,595', '']","['441', '']","['17.0', '']","['1,421', '']","['299', '']","['21.1', '']","['1,175', '']","['142', '']","['12.1', '']"
6595,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['464', '']","['59', '']","['12.7', '']","['323', '']","['58', '']","['18.0', '']","['140', '']","['1', '']","['0.6', '']"
6595,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,068', '']","['154', '']","['14.4', '']","['482', '']","['99', '']","['20.5', '']","['586', '']","['55', '']","['9.5', '']"
6595,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['418', '']","['178', '']","['42.6', '']","['300', '']","['98', '']","['32.8', '']","['118', 'i']","['80', '']","['67.5', '']"
6595,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['172', '']","['59', '']","['34.3', '']","['141', '']","['30', '']","['21.6', '']","['31', '']","['29', '']","['91.5', '']"
6595,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['232', '']","['110', 'i']","['47.2', '']","['146', '']","['59', '']","['40.3', '']","['87', 'i']","['51', 'i']","['58.9', '']"
6595,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['13', '']","['9', '']","['70.5', '']","['13', '']","['9', '']","['70.8', '']","['*', '']","['*', '']","['59.1', '']"
6595,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['646', '']","['50', '']","['7.7', '']","['316', '']","['44', '']","['14.0', '']","['330', 'i']","['6', '']","['1.7', '']"
6595,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['510', '']","['12', '']","['2.4', '']","['507', '']","['12', '']","['2.4', '']","['3', '']","['*', '']","['3.1', '']"
6595,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['3,010', '']","['38 - 88', '']","['D', '']","['2,418 - 3,011', '']","['39', '']","['D', '']","['0 - 591', '']","['0 - 49', '']","['D', '']"
6595,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['32,296', '']","['2,676', '']","['8.3', '']","['21,213', '']","['1,832', '']","['8.6', '']","['11,083', '']","['844', '']","['7.6', '']"
6595,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6595,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['83', '']","['37', '']","['44.4', '']","['79', '']","['35', '']","['44.7', '']","['4', '']","['2', '']","['39.8', '']"
6595,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['325', '']","['92', '']","['28.3', '']","['257', '']","['83', '']","['32.4', '']","['69', '']","['9', '']","['12.9', '']"
6595,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6595,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['423', '']","['95', '']","['22.5', '']","['356', '']","['85', '']","['23.8', '']","['67', '']","['10', '']","['15.4', '']"
6595,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['975', '']","['150', '']","['15.4', '']","['719', '']","['127', '']","['17.7', '']","['256', '']","['23', '']","['8.8', '']"
6595,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6595,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['991', '']","['130', '']","['13.1', '']","['760', '']","['105', '']","['13.8', '']","['231', '']","['25', '']","['10.8', '']"
6595,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,202', '']","['134', '']","['11.1', '']","['859', '']","['100', '']","['11.6', '']","['343', '']","['34', '']","['9.9', '']"
6595,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['4,575', '']","['454', '']","['9.9', '']","['2,854', '']","['305', '']","['10.7', '']","['1,721', '']","['149', '']","['8.6', '']"
6595,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['2,971', '']","['280', '']","['9.4', '']","['1,677', '']","['182', '']","['10.9', '']","['1,294', '']","['97', '']","['7.5', '']"
6595,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['6,282', '']","['465', '']","['7.4', '']","['3,518', '']","['267', '']","['7.6', '']","['2,764', '']","['198', 'i']","['7.2', '']"
6595,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['14,468', '']","['840', '']","['5.8', '']","['10,135', '']","['542', '']","['5.3', '']","['4,334', '']","['298', '']","['6.9', '']"
