table_id,row_id,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
1198,r025,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,,4,73600,17350,12200,14450,4400,25200
1198,r026,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,White,5,51050,14700,9000,9850,2950,14600
1198,r027,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Asian,5,16250,1750,2150,3050,950,8350
1198,r028,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Black or African American,5,1950,300,400,450,250,600
1198,r029,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Hispanic or Latino<sup>a</sup>,5,3200,450,450,950,200,1200
1198,r030,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,American Indian or Alaska Native,5,100,,50,,,50
1198,r031,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,Native Hawaiian or Other Pacific Islander,5,100,,,,,S
1198,r032,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Biological/life scientist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Biological/life scientist,More than one race<sup>b</sup>,5,950,150,150,150,50,400
1198,r033,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,,4,11200,3200,2600,2300,550,2500
1198,r034,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,White,5,6450,2050,1400,1400,250,1350
1198,r035,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Asian,5,4000,1050,950,750,150,1050
1198,r036,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Black or African American,5,300,50,100,50,,50
1198,r037,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Hispanic or Latino<sup>a</sup>,5,400,50,100,50,100,50
1198,r038,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,American Indian or Alaska Native,5,,,,,,
1198,r039,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,Native Hawaiian or Other Pacific Islander,5,,,,,,
1198,r040,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Computer and information scientist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Computer and information scientist,More than one race<sup>b</sup>,5,50,,,,,S
1198,r041,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,,4,19700,6700,5000,4150,1750,2150
1198,r042,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,White,5,13550,5000,3450,2600,1200,1300
1198,r043,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Asian,5,4450,1300,1100,1150,250,650
1198,r044,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Black or African American,5,600,100,200,150,S,50
1198,r045,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Hispanic or Latino<sup>a</sup>,5,1000,300,250,150,200,100
1198,r046,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,American Indian or Alaska Native,5,,,,,,
1198,r047,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,Native Hawaiian or Other Pacific Islander,5,,,,,,
1198,r048,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Mathematical scientist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Mathematical scientist,More than one race<sup>b</sup>,5,150,S,,50,,
1198,r049,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,,4,39150,13100,7600,7550,3600,7300
1198,r050,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,White,5,28600,10100,6050,5650,2450,4350
1198,r051,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Asian,5,7250,2000,800,1200,900,2400
1198,r052,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Black or African American,5,900,200,250,200,100,100
1198,r053,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Hispanic or Latino<sup>a</sup>,5,1800,600,400,400,100,250
1198,r054,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,American Indian or Alaska Native,5,,,,,,
1198,r055,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,Native Hawaiian or Other Pacific Islander,5,,,,,,
1198,r056,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Physical scientist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Physical scientist,More than one race<sup>b</sup>,5,550,100,100,100,50,200
1198,r057,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,,4,24300,7400,6750,5450,1650,3100
1198,r058,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,White,5,19000,6350,5200,3850,1350,2300
1198,r059,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Asian,5,2100,300,650,650,,400
1198,r060,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Black or African American,5,1250,250,400,350,100,150
1198,r061,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Hispanic or Latino<sup>a</sup>,5,1350,300,350,400,100,200
1198,r062,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,American Indian or Alaska Native,5,50,,,,,
1198,r063,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,Native Hawaiian or Other Pacific Islander,5,,,,,,
1198,r064,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Psychologist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Psychologist,More than one race<sup>b</sup>,5,500,150,100,200,,50
1198,r065,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,,4,46150,15600,13050,10950,3400,3200
1198,r066,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,White,5,34400,12450,9600,7500,2700,2200
1198,r067,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,Asian,5,5000,1400,1350,1800,150,300
1198,r068,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,Black or African American,5,2700,750,1050,500,200,200
1198,r069,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,Hispanic or Latino<sup>a</sup>,5,2850,750,700,800,200,400
1198,r070,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,American Indian or Alaska Native,5,150,50,,50,,
1198,r071,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,Native Hawaiian or Other Pacific Islander,5,50,,,,,
1198,r072,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Social scientist -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Social scientist,More than one race<sup>b</sup>,5,950,250,300,250,150,100
1198,r073,All occupations -> S&E occupations<sup>c</sup> -> Engineer,All occupations,S&E occupations<sup>c</sup>,Engineer,,,3,31100,11600,7250,6650,1550,4050
1198,r074,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> White,All occupations,S&E occupations<sup>c</sup>,Engineer,White,,4,18200,7250,4450,3500,1000,2000
1198,r075,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> Asian,All occupations,S&E occupations<sup>c</sup>,Engineer,Asian,,4,10150,3400,2150,2500,350,1750
1198,r076,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Engineer,Black or African American,,4,950,300,250,300,0.05,100
1198,r077,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Engineer,Hispanic or Latino<sup>a</sup>,,4,1450,450,400,350,100,200
1198,r078,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Engineer,American Indian or Alaska Native,,4,50,,,,,
1198,r079,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Engineer,Native Hawaiian or Other Pacific Islander,,4,,,,,,
1198,r080,All occupations -> S&E occupations<sup>c</sup> -> Engineer -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Engineer,More than one race<sup>b</sup>,,4,250,100,50,50,,50
1198,r081,All occupations -> S&E-related occupations<sup>d</sup>,All occupations,S&E-related occupations<sup>d</sup>,,,,2,33050,7650,8600,8450,1500,6900
1198,r082,All occupations -> S&E-related occupations<sup>d</sup> -> White,All occupations,S&E-related occupations<sup>d</sup>,White,,,3,23450,6000,6350,5800,1050,4300
1198,r083,All occupations -> S&E-related occupations<sup>d</sup> -> Asian,All occupations,S&E-related occupations<sup>d</sup>,Asian,,,3,6050,1050,1450,1450,300,1800
1198,r084,All occupations -> S&E-related occupations<sup>d</sup> -> Black or African American,All occupations,S&E-related occupations<sup>d</sup>,Black or African American,,,3,1650,300,400,500,100,400
1198,r085,All occupations -> S&E-related occupations<sup>d</sup> -> Hispanic or Latino<sup>a</sup>,All occupations,S&E-related occupations<sup>d</sup>,Hispanic or Latino<sup>a</sup>,,,3,1350,250,250,500,100,300
1198,r086,All occupations -> S&E-related occupations<sup>d</sup> -> American Indian or Alaska Native,All occupations,S&E-related occupations<sup>d</sup>,American Indian or Alaska Native,,,3,100,,50,,,
1198,r087,All occupations -> S&E-related occupations<sup>d</sup> -> Native Hawaiian or Other Pacific Islander,All occupations,S&E-related occupations<sup>d</sup>,Native Hawaiian or Other Pacific Islander,,,3,50,,,,,
1198,r088,All occupations -> S&E-related occupations<sup>d</sup> -> More than one race<sup>b</sup>,All occupations,S&E-related occupations<sup>d</sup>,More than one race<sup>b</sup>,,,3,400,S,50,150,,150
1198,r089,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,41100,16150,8250,4950,2750,9000
1198,r090,All occupations -> Non-S&E occupations -> White,All occupations,Non-S&E occupations,White,,,3,31050,12900,5950,3150,2050,7000
1198,r091,All occupations -> Non-S&E occupations -> Asian,All occupations,Non-S&E occupations,Asian,,,3,4900,1600,1200,1000,350,750
1198,r092,All occupations -> Non-S&E occupations -> Black or African American,All occupations,Non-S&E occupations,Black or African American,,,3,2250,700,500,400,100,550
1198,r093,All occupations -> Non-S&E occupations -> Hispanic or Latino<sup>a</sup>,All occupations,Non-S&E occupations,Hispanic or Latino<sup>a</sup>,,,3,2100,700,450,300,200,500
1198,r094,All occupations -> Non-S&E occupations -> American Indian or Alaska Native,All occupations,Non-S&E occupations,American Indian or Alaska Native,,,3,150,,,,,50
1198,r095,All occupations -> Non-S&E occupations -> Native Hawaiian or Other Pacific Islander,All occupations,Non-S&E occupations,Native Hawaiian or Other Pacific Islander,,,3,50,,,,,
1198,r096,All occupations -> Non-S&E occupations -> More than one race<sup>b</sup>,All occupations,Non-S&E occupations,More than one race<sup>b</sup>,,,3,600,250,150,50,50,150
