table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_rank,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
3049,r048,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,47,"['1,242', '']","['157', '']","['195', '']","['6', '']","['229', '']","['64', '']","['250', '']","['5', '']","['168', '']","['99', '']","['13', '']","['7', '']","['49', '']"
3049,r049,All institutions -> U. Texas Southwestern Medical Center,All institutions,U. Texas Southwestern Medical Center,2,48,"['1,234', '']","['0', '']","['665', '']","['0', '']","['0', '']","['0', '']","['568', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']"
3049,r050,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,49,"['1,218', '']","['225', '']","['241', '']","['19', '']","['312', '']","['13', '']","['96', '']","['13', '']","['89', '']","['153', '']","['22', '']","['35', '']","['0', '']"
3049,r051,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,50,"['1,215', '']","['0', '']","['416', '']","['4', '']","['71', '']","['19', '']","['601', '']","['1', '']","['0', '']","['82', '']","['11', '']","['10', '']","['0', '']"
3049,r052,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,51,"['1,189', '']","['0', '']","['325', '']","['10', '']","['394', '']","['76', '']","['14', '']","['*', '']","['0', '']","['187', '']","['59', '']","['75', '']","['49', '']"
3049,r053,All institutions -> Tulane U.,All institutions,Tulane U.,2,52,"['1,181', '']","['0', '']","['143', '']","['4', '']","['45', '']","['38', '']","['319', '']","['16', '']","['6', '']","['65', '']","['22', '']","['68', '']","['455', '']"
3049,r054,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,53,"['1,173', '']","['0', '']","['210', '']","['6', '']","['166', '']","['8', '']","['448', '']","['4', '']","['3', '']","['134', '']","['12', '']","['19', '']","['163', '']"
3049,r055,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,54,"['1,134', '']","['0', '']","['358', '']","['22', '']","['232', '']","['0', '']","['290', '']","['7', '']","['52', '']","['107', '']","['46', '']","['19', '']","['0', '']"
3049,r056,"All institutions -> U. Hawaii, Manoa",All institutions,"U. Hawaii, Manoa",2,55,"['1,079', '']","['6', '']","['264', '']","['23', '']","['112', '']","['224', '']","['173', '']","['8', '']","['23', '']","['143', '']","['17', '']","['86', '']","['0', '']"
3049,r057,All institutions -> U. Kansas,All institutions,U. Kansas,2,56,"['1,078', '']","['0', '']","['402', '']","['11', '']","['107', '']","['54', '']","['326', '']","['9', '']","['22', '']","['101', '']","['19', '']","['26', '']","['0', '']"
3049,r058,"All institutions -> U. Illinois, Chicago",All institutions,"U. Illinois, Chicago",2,57,"['1,062', '']","['0', '']","['341', '']","['16', '']","['93', '']","['7', '']","['425', '']","['3', '']","['1', '']","['91', '']","['12', '']","['18', '']","['56', '']"
3049,r059,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center<sup>b</sup>,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center<sup>b</sup>,2,58,"['1,056', '']","['0', '']","['399', '']","['0', '']","['118', '']","['0', '']","['477', '']","['1', '']","['0', '']","['37', '']","['22', '']","['2', '']","['0', '']"
3049,r060,All institutions -> Boston U.,All institutions,Boston U.,2,59,"['1,055', '']","['0', '']","['524', '']","['7', '']","['170', '']","['17', '']","['198', '']","['2', '']","['0', '']","['99', '']","['17', '']","['20', '']","['0', '']"
3049,r061,All institutions -> U. Southern California,All institutions,U. Southern California,2,60,"['1,052', '']","['0', '']","['238', '']","['188', '']","['147', '']","['78', '']","['237', '']","['1', '']","['0', '']","['72', '']","['23', '']","['46', '']","['23', '']"
3049,r062,All institutions -> Duke U.,All institutions,Duke U.,2,61,"['1,047', '']","['0', '']","['339', '']","['8', '']","['98', '']","['8', '']","['490', '']","['3', '']","['15', '']","['63', '']","['11', '']","['14', '']","['0', '']"
3049,r063,"All institutions -> U. California, Riverside",All institutions,"U. California, Riverside",2,62,"['1,045', '']","['335', '']","['190', '']","['23', '']","['160', '']","['37', '']","['41', '']","['17', '']","['2', '']","['149', '']","['42', '']","['23', '']","['26', '']"
3049,r064,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,63,"['1,037', '']","['0', '']","['261', '']","['53', '']","['136', '']","['93', '']","['206', '']","['28', '']","['6', '']","['181', '']","['37', '']","['22', '']","['13', '']"
3049,r065,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,64,"['988', '']","['0', '']","['176', '']","['23', '']","['282', '']","['135', '']","['8', '']","['3', '']","['40', '']","['252', '']","['58', '']","['10', '']","['0', '']"
3049,r066,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,65,"['969', '']","['30', '']","['201', '']","['7', '']","['183', '']","['309', '']","['34', '']","['7', '']","['9', '']","['132', '']","['16', '']","['40', '']","['0', '']"
3049,r067,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,66,"['945', '']","['99', '']","['276', '']","['7', '']","['108', '']","['33', '']","['272', '']","['2', '']","['8', '']","['89', '']","['48', '']","['3', '']","['0', '']"
3049,r068,All institutions -> Emory U.,All institutions,Emory U.,2,67,"['926', '']","['0', '']","['443', '']","['*', '']","['0', '']","['0', '']","['307', '']","['4', '']","['20', '']","['100', '']","['40', '']","['12', '']","['0', '']"
3049,r069,All institutions -> Baylor C. of Medicine,All institutions,Baylor C. of Medicine,2,68,"['923', '']","['0', '']","['821', '']","['0', '']","['0', '']","['0', '']","['102', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r070,"All institutions -> U. Tennessee, Knoxville, Institute of Agriculture",All institutions,"U. Tennessee, Knoxville, Institute of Agriculture",2,69,"['918', '']","['857', '']","['0', '']","['0', '']","['5', '']","['0', '']","['2', '']","['0', '']","['53', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r071,All institutions -> New York U.,All institutions,New York U.,2,70,"['912', '']","['0', '']","['729', '']","['0', '']","['74', '']","['0', '']","['21', '']","['2', '']","['0', '']","['57', '']","['16', '']","['14', '']","['0', '']"
3049,r072,All institutions -> U. Colorado Denver and Anschutz Medical Campus,All institutions,U. Colorado Denver and Anschutz Medical Campus,2,71,"['909', '']","['0', '']","['180', '']","['0', '']","['18', '']","['0', '']","['703', '']","['1', '']","['0', '']","['2', '']","['1', '']","['4', '']","['0', '']"
3049,r073,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,72,"['903', '']","['187', '']","['172', '']","['27', '']","['201', '']","['113', '']","['71', '']","['3', '']","['74', '']","['45', '']","['*', '']","['10', '']","['0', '']"
3049,r074,All institutions -> Wayne State U.,All institutions,Wayne State U.,2,73,"['891', '']","['7', '']","['260', '']","['10', '']","['116', '']","['2', '']","['284', '']","['7', '']","['2', '']","['131', '']","['46', '']","['26', '']","['0', '']"
3049,r075,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,74,"['880', '']","['400', '']","['132', '']","['2', '']","['141', '']","['17', '']","['85', '']","['1', '']","['16', '']","['74', '']","['10', '']","['2', '']","['0', '']"
3049,r076,"All institutions -> U. California, Santa Barbara",All institutions,"U. California, Santa Barbara",2,75,"['878', '']","['0', '']","['156', '']","['22', '']","['227', '']","['75', '']","['1', '']","['9', '']","['32', '']","['171', '']","['40', '']","['95', '']","['48', '']"
3049,r077,"All institutions -> CUNY, City C.",All institutions,"CUNY, City C.",2,76,"['856', '']","['0', '']","['213', '']","['23', '']","['203', '']","['52', '']","['64', '']","['18', '']","['10', '']","['190', '']","['27', '']","['56', '']","['0', '']"
3049,r078,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,77,"['846', '']","['0', '']","['15', '']","['0', '']","['774', '']","['8', '']","['6', '']","['0', '']","['0', '']","['26', '']","['7', '']","['6', '']","['2', '']"
3049,r079,"All institutions -> U. Louisiana, Lafayette",All institutions,"U. Louisiana, Lafayette",2,78,"['823', '']","['57', '']","['538', '']","['60', '']","['49', '']","['6', '']","['18', '']","['4', '']","['48', '']","['11', '']","['2', '']","['14', '']","['16', '']"
3049,r080,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,79,"['815', '']","['390', '']","['74', '']","['5', '']","['199', '']","['24', '']","['9', '']","['2', '']","['2', '']","['88', '']","['9', '']","['11', '']","['3', '']"
3049,r081,All institutions -> U. Rochester,All institutions,U. Rochester,2,80,"['808', '']","['0', '']","['278', '']","['7', '']","['40', '']","['12', '']","['217', '']","['*', '']","['0', '']","['213', '']","['39', '']","['2', '']","['0', '']"
3049,r082,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,81,"['807', '']","['0', '']","['276', '']","['1', '']","['172', '']","['19', '']","['220', '']","['5', '']","['0', '']","['81', '']","['16', '']","['17', '']","['0', '']"
3049,r083,"All institutions -> U. Alaska, Fairbanks",All institutions,"U. Alaska, Fairbanks",2,82,"['801', '']","['124', '']","['146', '']","['46', '']","['140', '']","['155', '']","['23', '']","['9', '']","['76', '']","['21', '']","['6', '']","['37', '']","['18', '']"
3049,r084,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,83,"['780', '']","['0', '']","['214', '']","['4', '']","['41', '']","['0', '']","['496', '']","['*', '']","['0', '']","['12', '']","['10', '']","['2', '']","['0', '']"
3049,r085,"All institutions -> U. Missouri, Columbia",All institutions,"U. Missouri, Columbia",2,84,"['778', '']","['291', '']","['138', '']","['22', '']","['92', '']","['8', '']","['123', '']","['1', '']","['30', '']","['45', '']","['15', '']","['13', '']","['0', '']"
3049,r086,All institutions -> Utah State U.,All institutions,Utah State U.,2,85,"['769', '']","['290', '']","['63', '']","['2', '']","['337', '']","['3', '']","['9', '']","['*', '']","['52', '']","['9', '']","['3', '']","['2', '']","['0', '']"
3049,r087,All institutions -> Oregon Health and Science U.,All institutions,Oregon Health and Science U.,2,86,"['753', '']","['0', '']","['234', '']","['13', '']","['27', '']","['0', '']","['466', '']","['1', '']","['2', '']","['0', '']","['8', '']","['2', '']","['0', '']"
3049,r088,"All institutions -> Indiana U.-Purdue U., Indianapolis",All institutions,"Indiana U.-Purdue U., Indianapolis",2,87,"['752', '']","['0', '']","['161', '']","['15', '']","['27', '']","['14', '']","['495', '']","['*', '']","['0', '']","['25', '']","['11', '']","['3', '']","['0', '']"
3049,r089,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,88,"['748', '']","['0', '']","['748', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r090,All institutions -> Dartmouth C.,All institutions,Dartmouth C.,2,89,"['746', '']","['0', '']","['254', '']","['26', '']","['74', '']","['23', '']","['158', '']","['22', '']","['12', '']","['81', '']","['38', '']","['60', '']","['0', '']"
3049,r091,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,90,"['743', '']","['0', '']","['216', '']","['8', '']","['169', '']","['61', '']","['0', '']","['0', '']","['0', '']","['281', '']","['0', '']","['7', '']","['0', '']"
3049,r092,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,91,"['743', '']","['0', '']","['123', '']","['17', '']","['201', '']","['70', '']","['142', '']","['3', '']","['1', '']","['94', '']","['45', '']","['45', '']","['0', '']"
3049,r093,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,92,"['734', '']","['0', '']","['191', '']","['17', '']","['142', '']","['16', '']","['234', '']","['2', '']","['0', '']","['82', '']","['29', '']","['20', '']","['0', '']"
3049,r094,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,93,"['727', '']","['0', '']","['62', '']","['10', '']","['100', '']","['123', '']","['279', '']","['3', '']","['1', '']","['80', '']","['23', '']","['47', '']","['0', '']"
3049,r095,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,94,"['719', '']","['136', '']","['116', '']","['3', '']","['265', '']","['45', '']","['0', '']","['4', '']","['18', '']","['82', '']","['13', '']","['9', '']","['29', '']"
3049,r096,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,95,"['717', '']","['5', '']","['273', '']","['22', '']","['210', '']","['8', '']","['41', '']","['0', '']","['58', '']","['66', '']","['19', '']","['6', '']","['9', '']"
3049,r097,All institutions -> U. Houston,All institutions,U. Houston,2,96,"['716', '']","['1', '']","['134', '']","['15', '']","['204', '']","['27', '']","['100', '']","['4', '']","['0', '']","['198', '']","['29', '']","['4', '']","['0', '']"
3049,r098,All institutions -> Tufts U.,All institutions,Tufts U.,2,97,"['716', '']","['0', '']","['222', '']","['6', '']","['101', '']","['6', '']","['320', '']","['*', '']","['0', '']","['43', '']","['16', '']","['1', '']","['2', '']"
3049,r099,All institutions -> Princeton U.,All institutions,Princeton U.,2,98,"['707', '']","['0', '']","['129', '']","['25', '']","['200', '']","['31', '']","['0', '']","['25', '']","['0', '']","['200', '']","['26', '']","['70', '']","['0', '']"
3049,r100,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,99,"['707', '']","['91', '']","['123', '']","['40', '']","['190', '']","['19', '']","['49', '']","['2', '']","['25', '']","['104', '']","['54', '']","['9', '']","['0', '']"
3049,r101,All institutions -> Medical U. South Carolina,All institutions,Medical U. South Carolina,2,100,"['706', '']","['0', '']","['373', '']","['0', '']","['20', '']","['0', '']","['313', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r102,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,101,"['690', '']","['0', '']","['237', '']","['4', '']","['82', '']","['0', '']","['293', '']","['0', '']","['3', '']","['37', '']","['22', '']","['10', '']","['2', '']"
3049,r103,All institutions -> U. Maine,All institutions,U. Maine,2,102,"['686', '']","['302', '']","['60', '']","['17', '']","['214', '']","['26', '']","['1', '']","['*', '']","['31', '']","['15', '']","['13', '']","['6', '']","['*', '']"
3049,r104,All institutions -> Clemson U.,All institutions,Clemson U.,2,103,"['680', '']","['146', '']","['115', '']","['16', '']","['250', '']","['33', '']","['6', '']","['10', '']","['19', '']","['68', '']","['10', '']","['9', '']","['0', '']"
3049,r105,All institutions -> Icahn School of Medicine at Mt. Sinai,All institutions,Icahn School of Medicine at Mt. Sinai,2,104,"['672', '']","['0', '']","['647', '']","['25', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3049,r106,All institutions -> U. Iowa,All institutions,U. Iowa,2,105,"['670', '']","['0', '']","['211', '']","['4', '']","['120', '']","['3', '']","['228', '']","['1', '']","['0', '']","['81', '']","['19', '']","['3', '']","['1', '']"
3049,r107,"All institutions -> U. Missouri, Kansas City",All institutions,"U. Missouri, Kansas City",2,106,"['660', '']","['0', '']","['62', '']","['25', '']","['46', '']","['12', '']","['400', '']","['3', '']","['0', '']","['59', '']","['16', '']","['13', '']","['23', '']"
3049,r108,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,107,"['654', '']","['0', '']","['202', '']","['0', '']","['451', '']","['0', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']"
