table_id,row_id,time_period,workers_employed_level_1,workers_employed_level_2,workers_employed_hierarchy_depth,value
1596,r008_3,"Boston-Cambridge-Newton, MA NECTA Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,3
1596,r009_1,"Houston-The Woodlands-Sugar Land, TX",Workers employed,All occupations,2,2929400
1596,r009_2,"Houston-The Woodlands-Sugar Land, TX",Workers employed,S&E occupations,2,159400
1596,r009_3,"Houston-The Woodlands-Sugar Land, TX",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,2
1596,r010_1,"Dallas-Plano-Irving, TX Metropolitan Division",Workers employed,All occupations,2,2491590
1596,r010_2,"Dallas-Plano-Irving, TX Metropolitan Division",Workers employed,S&E occupations,2,157640
1596,r010_3,"Dallas-Plano-Irving, TX Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,2
1596,r011_1,"Atlanta-Sandy Springs-Roswell, GA",Workers employed,All occupations,2,2619440
1596,r011_2,"Atlanta-Sandy Springs-Roswell, GA",Workers employed,S&E occupations,2,153360
1596,r011_3,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,2
1596,r012_1,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",Workers employed,All occupations,2,1116390
1596,r012_2,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",Workers employed,S&E occupations,2,122890
1596,r012_3,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,2
1596,r013_1,"Minneapolis-St. Paul-Bloomington, MN-WI",Workers employed,All occupations,2,1932310
1596,r013_2,"Minneapolis-St. Paul-Bloomington, MN-WI",Workers employed,S&E occupations,2,122380
1596,r013_3,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,2
1596,r014_1,"Denver-Aurora-Lakewood, CO",Workers employed,All occupations,2,1443130
1596,r014_2,"Denver-Aurora-Lakewood, CO",Workers employed,S&E occupations,2,109380
1596,r014_3,"Denver-Aurora-Lakewood, CO",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,2
1596,r015_1,"Phoenix-Mesa-Scottsdale, AZ",Workers employed,All occupations,2,1980010
1596,r015_2,"Phoenix-Mesa-Scottsdale, AZ",Workers employed,S&E occupations,2,106750
1596,r015_3,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
1596,r016_1,"Warren-Troy-Farmington Hills, MI Metropolitan Division",Workers employed,All occupations,2,1231590
1596,r016_2,"Warren-Troy-Farmington Hills, MI Metropolitan Division",Workers employed,S&E occupations,2,100220
1596,r016_3,"Warren-Troy-Farmington Hills, MI Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
1596,r017_1,"San Diego-Carlsbad, CA",Workers employed,All occupations,2,1433340
1596,r017_2,"San Diego-Carlsbad, CA",Workers employed,S&E occupations,2,97560
1596,r017_3,"San Diego-Carlsbad, CA",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
1596,r018_1,"Baltimore-Columbia-Towson, MD",Workers employed,All occupations,2,1360320
1596,r018_2,"Baltimore-Columbia-Towson, MD",Workers employed,S&E occupations,2,92640
1596,r018_3,"Baltimore-Columbia-Towson, MD",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
1596,r019_1,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Workers employed,All occupations,2,1616210
1596,r019_2,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Workers employed,S&E occupations,2,90700
1596,r019_3,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
1596,r020_1,"Austin-Round Rock, TX",Workers employed,All occupations,2,996540
1596,r020_2,"Austin-Round Rock, TX",Workers employed,S&E occupations,2,80860
1596,r020_3,"Austin-Round Rock, TX",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
1596,r021_1,"Oakland-Hayward-Berkeley, CA Metropolitan Division",Workers employed,All occupations,2,1138240
1596,r021_2,"Oakland-Hayward-Berkeley, CA Metropolitan Division",Workers employed,S&E occupations,2,74640
1596,r021_3,"Oakland-Hayward-Berkeley, CA Metropolitan Division",Metropolitan workforce in S&E occupations as percentage of national total in S&E occupations,,1,1
