table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
8226,r011,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Other biological, agricultural, life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Other biological, agricultural, life scientists",4,22600,825,5950,425,,,11150,575,2100,225,2000,250,550,100,750,150,150,75
8226,r012,All occupations -> Science occupations -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,,3,65450,1025,14600,625,600,150,44050,925,2150,275,1300,175,800,200,1350,225,550,150
8226,r013,All occupations -> Science occupations -> Computer and information scientists -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,Computer and information scientists,4,55100,1125,4650,350,200,100,44050,925,2150,275,1300,175,800,200,1350,225,550,150
8226,r014,"All occupations -> Science occupations -> Computer and information scientists -> Postsecondary teachers, computer science",All occupations,Science occupations,Computer and information scientists,"Postsecondary teachers, computer science",4,10350,550,9900,550,400,100,,,,,,,,,,,,
8226,r015,All occupations -> Science occupations -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,,3,43950,875,21200,625,1200,200,15950,650,2350,275,2050,225,500,150,500,125,250,100
8226,r016,All occupations -> Science occupations -> Mathematical scientists -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,Mathematical scientists,4,24900,750,3250,300,100,50,15950,650,2350,275,2050,225,500,150,500,125,250,100
8226,r017,"All occupations -> Science occupations -> Mathematical scientists -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations,Mathematical scientists,"Postsecondary teachers, mathematics, statistics",4,19050,625,17950,600,1100,175,,,,,,,,,,,,
8226,r018,All occupations -> Science occupations -> Physical scientists,All occupations,Science occupations,Physical scientists,,3,85100,1375,41000,1000,4300,350,23150,825,4550,325,7450,425,2450,250,1600,225,650,125
8226,r019,"All occupations -> Science occupations -> Physical scientists -> Chemists, except biochemists",All occupations,Science occupations,Physical scientists,"Chemists, except biochemists",4,21250,675,2500,275,,,14200,625,950,150,2050,250,650,125,750,175,200,75
8226,r020,"All occupations -> Science occupations -> Physical scientists -> Earth, atmospheric, ocean scientists",All occupations,Science occupations,Physical scientists,"Earth, atmospheric, ocean scientists",4,11500,400,3650,225,50,25,3150,250,1050,150,2550,200,550,75,350,100,200,75
8226,r021,"All occupations -> Science occupations -> Physical scientists -> Physicists, astronomers",All occupations,Science occupations,Physical scientists,"Physicists, astronomers",4,13550,625,3750,300,,,3950,325,1950,250,2300,275,1000,175,400,150,200,75
8226,r022,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, chemistry",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, chemistry",4,17200,700,14450,625,2700,300,,,,,,,,,,,,
8226,r023,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, physics",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, physics",4,10100,550,9050,500,1050,200,,,,,,,,,,,,
8226,r024,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, other physical science",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, other physical science",4,6700,350,6400,350,300,75,,,,,,,,,,,,
8226,r025,All occupations -> Science occupations -> Physical scientists -> Other physical scientists,All occupations,Science occupations,Physical scientists,Other physical scientists,4,4800,350,1200,200,,,1850,250,600,150,550,100,250,75,100,75,,
8226,r026,All occupations -> Science occupations -> Psychologists,All occupations,Science occupations,Psychologists,,3,78400,1025,26100,775,3600,275,17200,750,6250,475,5250,425,2450,325,17150,700,350,125
8226,r027,All occupations -> Science occupations -> Psychologists -> Psychologists,All occupations,Science occupations,Psychologists,Psychologists,4,58300,1050,7150,450,2400,225,17200,750,6250,475,5250,425,2450,325,17150,700,350,125
8226,r028,"All occupations -> Science occupations -> Psychologists -> Postsecondary teachers, psychology",All occupations,Science occupations,Psychologists,"Postsecondary teachers, psychology",4,20150,725,18950,750,1150,175,,,,,,,,,,,,
8226,r029,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,68450,1150,47950,950,2550,275,5200,350,4300,350,4100,350,1350,150,1800,225,1200,175
8226,r030,All occupations -> Science occupations -> Social scientists -> Economists,All occupations,Science occupations,Social scientists,Economists,4,9150,375,1350,175,,,2350,250,1450,225,1900,225,450,125,600,150,1000,175
8226,r031,All occupations -> Science occupations -> Social scientists -> Political scientists,All occupations,Science occupations,Social scientists,Political scientists,4,1750,250,600,150,,,150,75,400,150,350,100,100,50,,,,
8226,r032,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, economics",All occupations,Science occupations,Social scientists,"Postsecondary teachers, economics",4,10900,600,10750,600,150,75,,,,,,,,,,,,
8226,r033,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, political science",All occupations,Science occupations,Social scientists,"Postsecondary teachers, political science",4,10000,525,9350,525,600,200,,,,,,,,,,,,
8226,r034,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, sociology",All occupations,Science occupations,Social scientists,"Postsecondary teachers, sociology",4,7950,425,7350,425,600,125,,,,,,,,,,,,
8226,r035,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, other social sciences",All occupations,Science occupations,Social scientists,"Postsecondary teachers, other social sciences",4,15550,500,14800,500,750,150,,,,,,,,,,,,
8226,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,3800,300,1300,150,50,50,550,125,550,125,550,150,150,50,550,150,50,25
8226,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,9400,475,2450,225,300,75,2100,250,1900,225,1250,200,600,100,650,125,100,50
8226,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,122800,1575,36600,1000,450,150,68150,1400,4100,325,7200,500,2600,325,2350,275,1300,200
8226,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,7100,425,700,150,,,3850,325,650,125,1550,250,200,50,S,S,100,50
8226,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,8800,475,850,175,,,6450,425,400,125,700,175,,,S,S,,
8226,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,7400,425,900,175,,,4250,375,100,50,500,125,1300,250,250,100,S,S
8226,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,26950,850,2000,275,,,21900,800,900,175,950,150,200,75,600,175,400,150
8226,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,1450,200,250,75,,,950,175,S,S,50,25,,,100,50,,
8226,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,14250,625,2100,300,,,9950,575,550,125,1200,250,,,250,75,200,75
8226,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,26100,750,25600,750,450,150,,,,,,,,,,,,
8226,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,30750,825,4200,350,,,20800,700,1350,200,2200,225,800,150,950,175,400,125
8226,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,100450,1525,36750,1025,5800,375,35400,1075,11350,575,5100,400,2750,300,2450,250,800,200
8226,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,30750,850,7750,525,250,125,9600,575,7800,425,1900,250,1250,225,1900,225,300,75
8226,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,24000,825,23550,825,250,75,,,50,50,,,,,,,,
8226,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,30550,950,4050,350,,,18750,775,2900,300,2850,300,1300,200,250,100,450,150
8226,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,5300,325,,,5250,325,,,,,,,,,,,,
8226,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,9100,600,1350,250,,,6350,475,550,100,300,100,200,75,300,100,S,S
8226,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,800,150,,,,,600,125,S,S,,,,,,,,
8226,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,146600,1825,39650,875,5600,425,66400,1175,12500,625,6050,425,3450,325,11850,575,1150,175
8226,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,9150,500,750,150,S,S,4200,375,1150,200,200,75,100,50,2600,275,S,S
8226,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,29100,975,3500,275,500,150,16300,725,2650,275,2300,225,1000,175,2400,300,400,125
8226,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,60150,1350,16550,600,2200,250,30450,950,5650,375,2000,250,1250,200,1750,225,350,100
8226,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,17250,575,16500,575,600,125,,,100,50,,,,,,,,
8226,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,3700,350,50,25,1550,200,800,125,300,125,,,,,750,175,,
8226,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,8550,525,100,50,,,6650,400,250,100,,,,,1350,250,150,75
8226,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,6000,350,900,175,500,150,1050,150,1750,200,200,75,350,100,1200,200,50,50
8226,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,12750,575,1250,150,150,75,6950,450,600,100,1200,200,700,150,1800,225,50,50
