table_id,row_id,demographic_characteristic_and_broad_field_of_study_full_path,demographic_characteristic_and_broad_field_of_study_level_1,demographic_characteristic_and_broad_field_of_study_level_2,demographic_characteristic_and_broad_field_of_study_level_3,demographic_characteristic_and_broad_field_of_study_level_4,demographic_characteristic_and_broad_field_of_study_level_5,demographic_characteristic_and_broad_field_of_study_hierarchy_depth,field_total_number_,field_parental_education_attainment_all,field_parental_education_attainment_high_school_or_less,field_parental_education_attainment_some_collegea,field_parental_education_attainment_bachelor_s_degree,field_parental_education_attainment_master_s_degree,field_parental_education_attainment_professional_degreeb,field_parental_education_attainment_research_doctoral_degree
1761,r016,All doctorate recipients -> Citizenship status -> Temporary visa holder -> Father's education,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,,4,15598,100.0,27.5,11.9,33.1,14.5,4.5,8.5
1761,r017,All doctorate recipients -> Citizenship status -> Temporary visa holder -> Mother's education,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,,4,15579,100.0,38.8,13.8,30.4,10.8,2.9,3.3
1761,r018,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),,,,2,,,,,,,,
1761,r019,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,,3,,,,,,,,
1761,r020,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,Father's education,,4,2305,100.0,36.0,16.9,18.9,12.5,8.7,7.1
1761,r021,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,Mother's education,,4,2354,100.0,35.4,21.5,21.5,13.5,4.0,4.1
1761,r022,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,,3,,,,,,,,
1761,r023,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,,4,,,,,,,,
1761,r024,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,Father's education,5,96,100.0,,30.2,15.6,8.3,6.3,
1761,r025,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,Mother's education,5,97,100.0,41.2,17.5,18.6,18.6,,
1761,r026,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,,4,,,,,,,,
1761,r027,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,Father's education,5,3012,100.0,18.2,9.6,25.2,19.0,7.2,20.9
1761,r028,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,Mother's education,5,3022,100.0,27.0,13.0,28.6,18.9,6.2,6.4
1761,r029,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,,4,,,,,,,,
1761,r030,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,Father's education,5,2062,100.0,39.4,21.6,17.4,12.6,4.3,4.8
1761,r031,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,Mother's education,5,2163,100.0,33.2,24.7,19.2,15.9,3.2,3.8
1761,r032,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,,4,,,,,,,,
1761,r033,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,Father's education,5,23321,100.0,17.9,13.8,26.4,20.3,11.3,10.3
1761,r034,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,Mother's education,5,23467,100.0,18.2,18.8,30.1,22.7,5.2,5.0
1761,r035,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,,4,,,,,,,,
1761,r036,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,Father's education,5,1045,100.0,18.0,15.3,21.2,19.0,11.2,15.2
1761,r037,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,Mother's education,5,1064,100.0,18.7,18.8,27.2,21.5,,
1761,r038,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,,4,,,,,,,,
1761,r039,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,Father's education,5,246,100.0,,14.6,21.5,16.3,16.3,
1761,r040,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,Mother's education,5,242,100.0,20.7,18.2,31.4,17.8,5.8,6.2
1761,r041,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,,3,,,,,,,,
1761,r042,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported -> Father's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,Father's education,,4,118,100.0,25.4,9.3,22.0,20.3,10.2,12.7
1761,r043,All doctorate recipients -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported -> Mother's education,All doctorate recipients,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,Mother's education,,4,120,100.0,25.8,20.0,20.0,25.8,5.0,3.3
1761,r044,All doctorate recipients -> Field of study,All doctorate recipients,Field of study,,,,2,,,,,,,,
1761,r045,All doctorate recipients -> Field of study -> Life sciences<sup>e</sup>,All doctorate recipients,Field of study,Life sciences<sup>e</sup>,,,3,,,,,,,,
1761,r046,All doctorate recipients -> Field of study -> Life sciences<sup>e</sup> -> Father's education,All doctorate recipients,Field of study,Life sciences<sup>e</sup>,Father's education,,4,11369,100.0,22.5,13.5,27.0,17.8,9.3,9.9
1761,r047,All doctorate recipients -> Field of study -> Life sciences<sup>e</sup> -> Mother's education,All doctorate recipients,Field of study,Life sciences<sup>e</sup>,Mother's education,,4,11441,100.0,25.7,17.5,29.2,18.0,5.0,4.6
1761,r048,All doctorate recipients -> Field of study -> Physical sciences and earth sciences,All doctorate recipients,Field of study,Physical sciences and earth sciences,,,3,,,,,,,,
1761,r049,All doctorate recipients -> Field of study -> Physical sciences and earth sciences -> Father's education,All doctorate recipients,Field of study,Physical sciences and earth sciences,Father's education,,4,5630,100.0,22.6,13.3,29.4,17.4,7.0,10.3
1761,r050,All doctorate recipients -> Field of study -> Physical sciences and earth sciences -> Mother's education,All doctorate recipients,Field of study,Physical sciences and earth sciences,Mother's education,,4,5649,100.0,26.3,17.4,30.1,17.3,4.4,4.4
1761,r051,All doctorate recipients -> Field of study -> Mathematics and computer sciences,All doctorate recipients,Field of study,Mathematics and computer sciences,,,3,,,,,,,,
1761,r052,All doctorate recipients -> Field of study -> Mathematics and computer sciences -> Father's education,All doctorate recipients,Field of study,Mathematics and computer sciences,Father's education,,4,3474,100.0,22.5,12.7,29.0,17.0,6.9,11.8
1761,r053,All doctorate recipients -> Field of study -> Mathematics and computer sciences -> Mother's education,All doctorate recipients,Field of study,Mathematics and computer sciences,Mother's education,,4,3489,100.0,29.3,14.3,29.8,17.3,4.1,5.2
1761,r054,All doctorate recipients -> Field of study -> Psychology and social sciences,All doctorate recipients,Field of study,Psychology and social sciences,,,3,,,,,,,,
1761,r055,All doctorate recipients -> Field of study -> Psychology and social sciences -> Father's education,All doctorate recipients,Field of study,Psychology and social sciences,Father's education,,4,7527,100.0,22.7,13.4,25.5,17.9,10.2,10.3
1761,r056,All doctorate recipients -> Field of study -> Psychology and social sciences -> Mother's education,All doctorate recipients,Field of study,Psychology and social sciences,Mother's education,,4,7646,100.0,24.8,17.5,28.0,19.3,5.2,5.2
1761,r057,All doctorate recipients -> Field of study -> Engineering,All doctorate recipients,Field of study,Engineering,,,3,,,,,,,,
1761,r058,All doctorate recipients -> Field of study -> Engineering -> Father's education,All doctorate recipients,Field of study,Engineering,Father's education,,4,8859,100.0,20.7,12.2,32.7,18.0,5.8,10.6
1761,r059,All doctorate recipients -> Field of study -> Engineering -> Mother's education,All doctorate recipients,Field of study,Engineering,Mother's education,,4,8853,100.0,28.9,15.7,32.4,15.8,3.6,3.6
1761,r060,All doctorate recipients -> Field of study -> Education,All doctorate recipients,Field of study,Education,,,3,,,,,,,,
1761,r061,All doctorate recipients -> Field of study -> Education -> Father's education,All doctorate recipients,Field of study,Education,Father's education,,4,4151,100.0,31.8,17.9,22.9,14.8,6.9,5.7
1761,r062,All doctorate recipients -> Field of study -> Education -> Mother's education,All doctorate recipients,Field of study,Education,Mother's education,,4,4198,100.0,34.5,21.1,22.8,16.2,2.2,3.1
1761,r063,All doctorate recipients -> Field of study -> Humanities and arts,All doctorate recipients,Field of study,Humanities and arts,,,3,,,,,,,,
1761,r064,All doctorate recipients -> Field of study -> Humanities and arts -> Father's education,All doctorate recipients,Field of study,Humanities and arts,Father's education,,4,4440,100.0,19.5,12.5,24.4,19.3,13.4,10.9
1761,r065,All doctorate recipients -> Field of study -> Humanities and arts -> Mother's education,All doctorate recipients,Field of study,Humanities and arts,Mother's education,,4,4459,100.0,21.1,17.1,28.7,21.9,6.1,5.1
1761,r066,All doctorate recipients -> Field of study -> Other<sup>f</sup>,All doctorate recipients,Field of study,Other<sup>f</sup>,,,3,,,,,,,,
1761,r067,All doctorate recipients -> Field of study -> Other<sup>f</sup> -> Father's education,All doctorate recipients,Field of study,Other<sup>f</sup>,Father's education,,4,2373,100.0,25.6,13.7,25.7,16.2,7.0,11.8
1761,r068,All doctorate recipients -> Field of study -> Other<sup>f</sup> -> Mother's education,All doctorate recipients,Field of study,Other<sup>f</sup>,Mother's education,,4,2394,100.0,29.5,17.3,27.9,16.9,3.5,4.9
