table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_employed_total,field_employed_s_e_occupations,field_employed_s_e_related_occupations,field_employed_non_s_e_occupations,field_unemployeda,field_not_in_labor_forceb
6835,r018,All degrees -> S&E fields -> Social and related sciences -> Psychology,All degrees,S&E fields,Social and related sciences,Psychology,,4,2764000,2034000,306000,144000,1584000,108000,622000
6835,r019,All degrees -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,S&E fields,Social and related sciences,Sociology and anthropology,,4,1157000,838000,95000,78000,665000,34000,285000
6835,r020,All degrees -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,S&E fields,Social and related sciences,Other social sciences,,4,772000,600000,58000,57000,485000,13000,159000
6835,r021,All degrees -> S&E fields -> Engineering,All degrees,S&E fields,Engineering,,,3,4225000,3494000,1970000,531000,993000,126000,605000
6835,r022,"All degrees -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,4,166000,127000,58000,8000,60000,6000,33000
6835,r023,All degrees -> S&E fields -> Engineering -> Chemical engineering,All degrees,S&E fields,Engineering,Chemical engineering,,4,281000,220000,129000,23000,68000,10000,51000
6835,r024,All degrees -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,S&E fields,Engineering,Civil and architectural engineering,,4,597000,501000,250000,96000,155000,11000,86000
6835,r025,All degrees -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,S&E fields,Engineering,Electrical and computer engineering,,4,1508000,1264000,820000,205000,239000,48000,196000
6835,r026,All degrees -> S&E fields -> Engineering -> Industrial engineering,All degrees,S&E fields,Engineering,Industrial engineering,,4,263000,214000,83000,34000,97000,10000,39000
6835,r027,All degrees -> S&E fields -> Engineering -> Mechanical engineering,All degrees,S&E fields,Engineering,Mechanical engineering,,4,829000,689000,387000,98000,204000,31000,110000
6835,r028,All degrees -> S&E fields -> Engineering -> Other engineering,All degrees,S&E fields,Engineering,Other engineering,,4,581000,479000,243000,67000,170000,11000,91000
6835,r029,All degrees -> S&E-related fields,All degrees,S&E-related fields,,,,2,8383000,6870000,382000,4796000,1693000,168000,1345000
6835,r030,All degrees -> S&E-related fields -> Health,All degrees,S&E-related fields,Health,,,3,6720000,5572000,146000,4297000,1129000,122000,1027000
6835,r031,All degrees -> S&E-related fields -> Science and mathematics teacher education,All degrees,S&E-related fields,Science and mathematics teacher education,,,3,560000,394000,29000,180000,185000,8000,159000
6835,r032,All degrees -> S&E-related fields -> Technology and technical fields,All degrees,S&E-related fields,Technology and technical fields,,,3,577000,453000,173000,93000,187000,31000,93000
6835,r033,All degrees -> S&E-related fields -> Other S&E-related fields,All degrees,S&E-related fields,Other S&E-related fields,,,3,526000,452000,35000,225000,192000,8000,66000
6835,r034,All degrees -> Non-S&E fields,All degrees,Non-S&E fields,,,,2,34497000,26852000,1301000,1479000,24072000,836000,6809000
6835,r035,All degrees -> Non-S&E fields -> Management and administration fields,All degrees,Non-S&E fields,Management and administration fields,,,3,11778000,9501000,573000,391000,8537000,363000,1913000
6835,r036,"All degrees -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Non-S&E fields,"Education, except science and math teacher education",,,3,7466000,5157000,98000,509000,4549000,134000,2175000
6835,r037,All degrees -> Non-S&E fields -> Social service and related fields,All degrees,Non-S&E fields,Social service and related fields,,,3,1717000,1364000,58000,73000,1232000,32000,321000
6835,r038,All degrees -> Non-S&E fields -> Sales and marketing fields,All degrees,Non-S&E fields,Sales and marketing fields,,,3,1514000,1324000,103000,22000,1199000,26000,163000
6835,r039,All degrees -> Non-S&E fields -> Art and humanities fields,All degrees,Non-S&E fields,Art and humanities fields,,,3,5585000,4270000,226000,236000,3807000,159000,1156000
6835,r040,All degrees -> Non-S&E fields -> Other non-S&E fields,All degrees,Non-S&E fields,Other non-S&E fields,,,3,6437000,5235000,242000,247000,4747000,121000,1081000
6835,r041,All degrees -> Bachelor's,All degrees,Bachelor's,,,,2,38866000,30131000,3846000,4338000,21946000,1088000,7647000
6835,r042,All degrees -> Bachelor's -> S&E fields,All degrees,Bachelor's,S&E fields,,,3,13077000,10241000,2918000,1410000,5913000,387000,2449000
6835,r043,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,2152000,1631000,321000,474000,836000,56000,466000
6835,r044,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,284000,224000,24000,27000,172000,4000,56000
6835,r045,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,1652000,1229000,265000,413000,551000,44000,378000
6835,r046,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,217000,178000,31000,33000,113000,S,32000
6835,r047,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,,4,2046000,1713000,879000,192000,641000,54000,278000
6835,r048,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,1537000,1352000,807000,121000,425000,40000,145000
6835,r049,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,509000,361000,72000,72000,217000,14000,134000
6835,r050,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,,4,606000,466000,147000,98000,221000,11000,129000
6835,r051,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,287000,206000,73000,60000,74000,4000,76000
6835,r052,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,174000,149000,39000,13000,97000,3000,22000
6835,r053,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,116000,85000,29000,15000,41000,S,30000
6835,r054,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,30000,26000,7000,10000,10000,,S
6835,r055,All degrees -> Bachelor's -> S&E fields -> Social and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,,4,5348000,4044000,305000,278000,3461000,178000,1126000
6835,r056,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Economics,All degrees,Bachelor's,S&E fields,Social and related sciences,Economics,5,911000,751000,70000,33000,649000,24000,135000
6835,r057,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Political and related sciences,5,993000,780000,52000,43000,684000,26000,188000
6835,r058,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Bachelor's,S&E fields,Social and related sciences,Psychology,5,1911000,1372000,101000,101000,1171000,85000,453000
6835,r059,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Bachelor's,S&E fields,Social and related sciences,Sociology and anthropology,5,1004000,722000,50000,69000,603000,32000,250000
6835,r060,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Other social sciences,5,529000,419000,32000,33000,354000,11000,100000
6835,r061,All degrees -> Bachelor's -> S&E fields -> Engineering,All degrees,Bachelor's,S&E fields,Engineering,,4,2925000,2387000,1265000,368000,754000,88000,450000
6835,r062,"All degrees -> Bachelor's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Bachelor's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,108000,84000,32000,6000,46000,S,22000
6835,r063,All degrees -> Bachelor's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Bachelor's,S&E fields,Engineering,Chemical engineering,5,216000,167000,95000,17000,55000,8000,41000
6835,r064,All degrees -> Bachelor's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Bachelor's,S&E fields,Engineering,Civil and architectural engineering,5,437000,362000,169000,74000,119000,7000,69000
6835,r065,All degrees -> Bachelor's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Bachelor's,S&E fields,Engineering,Electrical and computer engineering,5,1000000,816000,516000,132000,168000,37000,147000
6835,r066,All degrees -> Bachelor's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Bachelor's,S&E fields,Engineering,Industrial engineering,5,173000,141000,51000,21000,68000,3000,28000
6835,r067,All degrees -> Bachelor's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Bachelor's,S&E fields,Engineering,Mechanical engineering,5,652000,541000,284000,79000,179000,25000,86000
6835,r068,All degrees -> Bachelor's -> S&E fields -> Engineering -> Other engineering,All degrees,Bachelor's,S&E fields,Engineering,Other engineering,5,338000,276000,118000,38000,119000,5000,57000
6835,r069,All degrees -> Bachelor's -> S&E-related fields,All degrees,Bachelor's,S&E-related fields,,,3,4295000,3390000,189000,2167000,1035000,94000,810000
6835,r070,All degrees -> Bachelor's -> S&E-related fields -> Health,All degrees,Bachelor's,S&E-related fields,Health,,4,3233000,2555000,43000,1870000,642000,64000,614000
6835,r071,All degrees -> Bachelor's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Bachelor's,S&E-related fields,Science and mathematics teacher education,,4,252000,179000,5000,76000,98000,,71000
6835,r072,All degrees -> Bachelor's -> S&E-related fields -> Technology and technical fields,All degrees,Bachelor's,S&E-related fields,Technology and technical fields,,4,465000,360000,125000,74000,161000,24000,81000
6835,r073,All degrees -> Bachelor's -> S&E-related fields -> Other S&E-related fields,All degrees,Bachelor's,S&E-related fields,Other S&E-related fields,,4,346000,297000,16000,148000,134000,5000,43000
6835,r074,All degrees -> Bachelor's -> Non-S&E fields,All degrees,Bachelor's,Non-S&E fields,,,3,21493000,16499000,740000,761000,14998000,607000,4388000
6835,r075,All degrees -> Bachelor's -> Non-S&E fields -> Management and administration fields,All degrees,Bachelor's,Non-S&E fields,Management and administration fields,,4,8152000,6509000,274000,185000,6050000,277000,1365000
6835,r076,"All degrees -> Bachelor's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Bachelor's,Non-S&E fields,"Education, except science and math teacher education",,4,3386000,2223000,38000,162000,2023000,61000,1102000
6835,r077,All degrees -> Bachelor's -> Non-S&E fields -> Social service and related fields,All degrees,Bachelor's,Non-S&E fields,Social service and related fields,,4,712000,531000,17000,39000,476000,18000,162000
6835,r078,All degrees -> Bachelor's -> Non-S&E fields -> Sales and marketing fields,All degrees,Bachelor's,Non-S&E fields,Sales and marketing fields,,4,1226000,1063000,83000,11000,969000,23000,140000
6835,r079,All degrees -> Bachelor's -> Non-S&E fields -> Art and humanities fields,All degrees,Bachelor's,Non-S&E fields,Art and humanities fields,,4,4433000,3356000,197000,192000,2967000,139000,938000
6835,r080,All degrees -> Bachelor's -> Non-S&E fields -> Other non-S&E fields,All degrees,Bachelor's,Non-S&E fields,Other non-S&E fields,,4,3584000,2816000,130000,172000,2513000,88000,681000
6835,r081,All degrees -> Master's,All degrees,Master's,,,,2,16756000,13260000,2069000,2262000,8929000,348000,3149000
6835,r082,All degrees -> Master's -> S&E fields,All degrees,Master's,S&E fields,,,3,3905000,3138000,1442000,467000,1230000,93000,674000
6835,r083,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,457000,351000,123000,106000,122000,7000,99000
6835,r084,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,48000,40000,21000,4000,15000,S,7000
6835,r085,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,337000,254000,83000,93000,77000,5000,78000
6835,r086,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,72000,57000,18000,9000,30000,S,14000
6835,r087,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,,4,922000,754000,482000,108000,165000,25000,142000
6835,r088,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,735000,613000,411000,80000,121000,22000,100000
6835,r089,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Master's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,187000,141000,70000,28000,44000,4000,42000
6835,r090,All degrees -> Master's -> S&E fields -> Physical and related sciences,All degrees,Master's,S&E fields,Physical and related sciences,,4,211000,179000,98000,43000,38000,4000,28000
6835,r091,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Master's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,81000,64000,32000,15000,18000,2000,15000
6835,r092,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Master's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,74000,63000,38000,18000,8000,S,9000
6835,r093,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Master's,S&E fields,Physical and related sciences,Physics and astronomy,5,54000,50000,27000,10000,13000,,3000
6835,r094,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Master's,S&E fields,Physical and related sciences,Other physical sciences,5,2000,2000,1000,0.05,,,
6835,r095,All degrees -> Master's -> S&E fields -> Social and related sciences,All degrees,Master's,S&E fields,Social and related sciences,,4,1252000,954000,176000,71000,707000,25000,273000
6835,r096,All degrees -> Master's -> S&E fields -> Social and related sciences -> Economics,All degrees,Master's,S&E fields,Social and related sciences,Economics,5,108000,81000,20000,S,59000,S,26000
6835,r097,All degrees -> Master's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Master's,S&E fields,Social and related sciences,Political and related sciences,5,227000,185000,37000,8000,140000,S,39000
6835,r098,All degrees -> Master's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Master's,S&E fields,Social and related sciences,Psychology,5,625000,474000,87000,30000,357000,17000,134000
6835,r099,All degrees -> Master's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Master's,S&E fields,Social and related sciences,Sociology and anthropology,5,100000,74000,18000,8000,48000,1000,24000
6835,r100,All degrees -> Master's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Master's,S&E fields,Social and related sciences,Other social sciences,5,192000,140000,14000,23000,102000,1000,51000
6835,r101,All degrees -> Master's -> S&E fields -> Engineering,All degrees,Master's,S&E fields,Engineering,,4,1063000,899000,563000,139000,197000,31000,132000
6835,r102,"All degrees -> Master's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Master's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,51000,37000,22000,2000,13000,S,11000
6835,r103,All degrees -> Master's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Master's,S&E fields,Engineering,Chemical engineering,5,40000,33000,21000,5000,7000,1000,5000
6835,r104,All degrees -> Master's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Master's,S&E fields,Engineering,Civil and architectural engineering,5,140000,121000,69000,19000,33000,3000,16000
6835,r105,All degrees -> Master's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Master's,S&E fields,Engineering,Electrical and computer engineering,5,435000,382000,257000,64000,61000,10000,43000
6835,r106,All degrees -> Master's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Master's,S&E fields,Engineering,Industrial engineering,5,80000,65000,28000,11000,25000,S,11000
6835,r107,All degrees -> Master's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Master's,S&E fields,Engineering,Mechanical engineering,5,142000,117000,79000,17000,21000,5000,20000
6835,r108,All degrees -> Master's -> S&E fields -> Engineering -> Other engineering,All degrees,Master's,S&E fields,Engineering,Other engineering,5,175000,145000,86000,21000,38000,4000,26000
6835,r109,All degrees -> Master's -> S&E-related fields,All degrees,Master's,S&E-related fields,,,3,2185000,1788000,131000,1126000,530000,51000,347000
6835,r110,All degrees -> Master's -> S&E-related fields -> Health,All degrees,Master's,S&E-related fields,Health,,4,1617000,1349000,52000,928000,370000,36000,232000
6835,r111,All degrees -> Master's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Master's,S&E-related fields,Science and mathematics teacher education,,4,290000,203000,19000,103000,81000,5000,81000
6835,r112,All degrees -> Master's -> S&E-related fields -> Technology and technical fields,All degrees,Master's,S&E-related fields,Technology and technical fields,,4,103000,84000,43000,18000,23000,S,12000
6835,r113,All degrees -> Master's -> S&E-related fields -> Other S&E-related fields,All degrees,Master's,S&E-related fields,Other S&E-related fields,,4,176000,151000,17000,77000,57000,2000,22000
6835,r114,All degrees -> Master's -> Non-S&E fields,All degrees,Master's,Non-S&E fields,,,3,10666000,8334000,496000,669000,7168000,204000,2128000
6835,r115,All degrees -> Master's -> Non-S&E fields -> Management and administration fields,All degrees,Master's,Non-S&E fields,Management and administration fields,,4,3581000,2953000,295000,204000,2454000,86000,542000
6835,r116,"All degrees -> Master's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Master's,Non-S&E fields,"Education, except science and math teacher education",,4,3887000,2787000,54000,329000,2404000,71000,1029000
6835,r117,All degrees -> Master's -> Non-S&E fields -> Social service and related fields,All degrees,Master's,Non-S&E fields,Social service and related fields,,4,883000,733000,33000,33000,666000,14000,136000
6835,r118,All degrees -> Master's -> Non-S&E fields -> Sales and marketing fields,All degrees,Master's,Non-S&E fields,Sales and marketing fields,,4,278000,252000,20000,11000,221000,3000,23000
6835,r119,All degrees -> Master's -> Non-S&E fields -> Art and humanities fields,All degrees,Master's,Non-S&E fields,Art and humanities fields,,4,984000,765000,25000,43000,697000,19000,199000
6835,r120,All degrees -> Master's -> Non-S&E fields -> Other non-S&E fields,All degrees,Master's,Non-S&E fields,Other non-S&E fields,,4,1052000,843000,69000,49000,726000,11000,197000
6835,r121,All degrees -> Doctorate,All degrees,Doctorate,,,,2,2172000,1796000,786000,267000,743000,40000,336000
6835,r122,All degrees -> Doctorate -> S&E fields,All degrees,Doctorate,S&E fields,,,3,1311000,1082000,702000,117000,262000,28000,201000
6835,r123,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",,4,372000,308000,189000,55000,63000,8000,57000
6835,r124,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,27000,21000,12000,S,4000,,6000
6835,r125,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,337000,279000,173000,50000,56000,8000,50000
6835,r126,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,8000,7000,4000,,S,,
6835,r127,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,,4,120000,100000,76000,7000,16000,2000,18000
6835,r128,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,58000,52000,39000,5000,8000,,6000
6835,r129,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,62000,48000,37000,2000,8000,2000,12000
6835,r130,All degrees -> Doctorate -> S&E fields -> Physical and related sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,,4,207000,168000,121000,18000,30000,4000,34000
6835,r131,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Doctorate,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,98000,79000,51000,10000,17000,1000,18000
6835,r132,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Doctorate,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,27000,22000,16000,S,4000,,S
6835,r133,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Doctorate,S&E fields,Physical and related sciences,Physics and astronomy,5,80000,67000,52000,7000,8000,S,11000
6835,r134,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,Other physical sciences,5,2000,S,S,,,,
6835,r135,All degrees -> Doctorate -> S&E fields -> Social and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,,4,374000,298000,174000,14000,110000,7000,69000
6835,r136,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Economics,All degrees,Doctorate,S&E fields,Social and related sciences,Economics,5,50000,38000,25000,,13000,,12000
6835,r137,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Political and related sciences,5,38000,29000,17000,S,11000,,9000
6835,r138,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Psychology,All degrees,Doctorate,S&E fields,Social and related sciences,Psychology,5,182000,148000,95000,10000,44000,5000,29000
6835,r139,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Doctorate,S&E fields,Social and related sciences,Sociology and anthropology,5,54000,42000,26000,2000,14000,,11000
6835,r140,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Other social sciences,5,51000,41000,11000,S,28000,,8000
6835,r141,All degrees -> Doctorate -> S&E fields -> Engineering,All degrees,Doctorate,S&E fields,Engineering,,4,237000,208000,142000,23000,43000,7000,23000
6835,r142,"All degrees -> Doctorate -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Doctorate,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,7000,6000,4000,,,,
6835,r143,All degrees -> Doctorate -> S&E fields -> Engineering -> Chemical engineering,All degrees,Doctorate,S&E fields,Engineering,Chemical engineering,5,25000,20000,13000,1000,6000,S,4000
6835,r144,All degrees -> Doctorate -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Doctorate,S&E fields,Engineering,Civil and architectural engineering,5,20000,18000,13000,2000,S,,1000
6835,r145,All degrees -> Doctorate -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Doctorate,S&E fields,Engineering,Electrical and computer engineering,5,73000,66000,46000,10000,10000,,6000
6835,r146,All degrees -> Doctorate -> S&E fields -> Engineering -> Industrial engineering,All degrees,Doctorate,S&E fields,Engineering,Industrial engineering,5,11000,8000,4000,,4000,,
